BASLIK,MARKA,TEMEL OZELLIKLER - Seri,MODEL,TEMEL OZELLIKLER - Donanim Paketi,TEMEL OZELLIKLER - Arac Turu,TEMEL OZELLIKLER - Govde Tipi,TEMEL OZELLIKLER - Segment,TEMEL OZELLIKLER - Model Yili,TEMEL OZELLIKLER - Ait Oldugu Ulke,TEMEL OZELLIKLER - Motor Tipi,TEMEL OZELLIKLER - Motorlu Tasit Vergisi,TEMEL OZELLIKLER - Yakit Tipi,MOTOR (Icten Yanmali) - Besleme Tipi,MOTOR (Icten Yanmali) - Silindir Adedi,MOTOR (Icten Yanmali) - Silindir Hacmi,MOTOR (Icten Yanmali) - Yakit Puskurtme,PERFORMANS - Azami Hiz,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gucu (Toplam),PERFORMANS - 0 - 100 Km Hizlanma,AGIRLIK & OLCULER - Agirlik,AGIRLIK & OLCULER - Genislik,AGIRLIK & OLCULER - Uzunluk,AGIRLIK & OLCULER - Yukseklik,BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk),BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk),DIS GOVDE - Kapi Sayisi,FRENLER & SUSPANSIYON - Park Freni Tipi,GOSTERGELER & SENSORLER - Far Sensoru,GOSTERGELER & SENSORLER - Lastik Basinc Sensoru,GOSTERGELER & SENSORLER - Park Sensoru & Yardimi,GOSTERGELER & SENSORLER - Yagmur Sensoru,ISITMA & SOGUTMA - Klima,KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi,KOLTUKLAR & IC DOSEME - Koltuk Sayisi,KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari,KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari,LAMBALAR & AYDINLATMA - Far Tipi,LAMBALAR & AYDINLATMA - Sis Farlari,LASTIK & JANT - Jant Capi,LASTIK & JANT - Jant Tipi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Taban Genisligi,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Garantisi,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP - Birlesik),MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici),MOTOR (Elektrikli) - Motor Gucu,MOTOR (Elektrikli) - Ortalama Tuketim (Elk.),MOTOR (Elektrikli) - Sarj Suresi,SANZIMAN & CEKIS SISTEMI - Cekis,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi,SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi,SANZIMAN & CEKIS SISTEMI - Sanziman Ozellikleri,SANZIMAN & CEKIS SISTEMI - Sanziman Turu,SURUS DESTEK SISTEMLERI - Denge Kontrol Sistemi,SURUS DESTEK SISTEMLERI - Diferansiyel Kilidi,SURUS DESTEK SISTEMLERI - Dur & Kalk (Stop & Start),SURUS DESTEK SISTEMLERI - Hiz Sabitleme & Sinirlama,SURUS DESTEK SISTEMLERI - Serit Takip Sistemi,SURUS DESTEK SISTEMLERI - Yokus Kalkis Destegi,YAKIT TUKETIMI & EMISYON - Cevre Standardi (Emisyon),YAKIT TUKETIMI & EMISYON - Ortalama Emisyon,YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km),YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km/WLTP),YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi,YOLCU EMNIYETI - Anahtarsiz Sistem,YOLCU EMNIYETI - Hava Yastigi Adedi,YOLCU EMNIYETI - NCAP/ANCAP Puani
2015 Opel Cascada 1.6 170 HP Otomatik Cosmo,Opel,Cascada,Cascada,Cosmo,Binek,Cabrio,C,2015,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1598 cc,Cok Noktadan Enjeksiyon,219 km/s,260 nm,170 BG,9.9 saniye,1658 kg,1839 mm,4696 mm,1443 mm,750 lt,380 lt,2.0,Elektronik Park Freni,Var,Yok,Var,Var,Otomatik Klima,Deri,4.0,Manuel,Manuel,Bi-Xenon,Var,18 inc,Alasimli,50 %,235/50 R18,235 mm,,,,,,,,,,Onden Cekisli,Yok,6 ileri,Standart Otomatik,Otomatik,Var,,Yok,Var,,Var,,219 g/km,7.3 lt,,6.1 lt,9.5 lt,56 lt,,4 adet,
2015 Opel Cascada 2.0 DTH 165 HP Otomatik Cosmo,Opel,Cascada,Cascada,Cosmo,Binek,Cabrio,C,2015,Almanya,Icten Yanmali (Standart),10613,Dizel,Turbo,4,1956 cc,Common Rail Direkt Enjeksiyon,212 km/s,350 nm,165 BG,10.4 saniye,1741 kg,1839 mm,4696 mm,1443 mm,750 lt,380 lt,2.0,Elektronik Park Freni,Var,Yok,Var,Var,Otomatik Klima,Deri,4.0,Manuel,Manuel,Bi-Xenon,Var,18 inc,Alasimli,50 %,235/50 R18,235 mm,,,,,,,,,,Onden Cekisli,Yok,6 ileri,Standart Otomatik,Otomatik,Var,,Yok,Var,,Var,,212 g/km,6.2 lt,,5.0 lt,8.2 lt,56 lt,,4 adet,
2016 Rolls Royce Phantom Drophead Coupe 6.75 V12 460 HP,Rolls-Royce,Phantom Drophead Coupe,Phantom Drophead Coupe,Standart,Binek,Cabrio,F,2016,Ingiltere,Icten Yanmali (Standart),85377,Benzin,Atmosferik,12,6749 cc,Cok Noktadan Enjeksiyon,240 km/s,720 nm,460 BG,5.8 saniye,2719 kg,1987 mm,5612 mm,1566 mm,,315 lt,2.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,LED,Var,21 inc,Alasimli,50 %,255/50 R21,255 mm,,,,,,,,,,Arkadan Itisli,Var,8 ileri,ZF8 (Otomatik),Otomatik,Var,,Yok,Var,,,,347 g/km,14.8 lt,,10.2 lt,22.8 lt,80 lt,Var,4 adet,
2015 Citroen DS 3 Cabriolet 1.6 e-HDi 92 HP MCP STT DSport,Citroen,DS3 Cabrio,Ds 3 Cabriolet,DSport,Binek,Cabrio,Premium B,2015,Fransa,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1560 cc,Common Rail Direkt Enjeksiyon,180 km/s,230 nm,92 BG,11.8 saniye,1155 kg,1715 mm,3948 mm,1483 mm,980 lt,285 lt,2.0,Mekanik Park Freni,Var,Yok,Var,Var,Otomatik Klima,Kumas & Deri,4.0,Manuel,Manuel,Halojen,Var,17 inc,Alasimli,45 %,205/45 R17,205 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,MCP (Yari Otm.),Otomatik,Var,,Var,Var,,Var,,99 g/km,3.8 lt,,3.5 lt,4.3 lt,50 lt,,4 adet,5 yildiz
2015 Audi A3 Cabrio 1.4 TFSI 150 HP Attraction S tronic,Audi,A3,A3 Cabrio,Attraction,Binek,Cabrio,Premium C,2015,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Cok Noktadan Enjeksiyon,222 km/s,250 nm,150 BG,8.9 saniye,1380 kg,1793 mm,4421 mm,1409 mm,,320 lt,2.0,Elektronik Park Freni,Yok,Yok,Yok,Yok,Manuel Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var,17 inc,Alasimli,45 %,225/45 R17,225 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,S tronic (Yari Otm.),Otomatik,Var,Var,Var,,,,,114 g/km,4.9 lt,,4.3 lt,6.0 lt,50 lt,,7 adet,5 yildiz
2016 Audi A3 Cabrio 1.4 TFSI 150 HP S tronic Attraction,Audi,A3,A3 Cabrio,Attraction,Binek,Cabrio,Premium C,2016,Almanya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1395 cc,Cok Noktadan Enjeksiyon,222 km/s,250 nm,150 BG,8.9 saniye,1380 kg,1793 mm,4421 mm,1409 mm,,320 lt,2.0,Elektronik Park Freni,Yok,Yok,Yok,Yok,Manuel Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var,17 inc,Alasimli,45 %,225/45 R17,225 mm,,,,,,,,,,Onden Cekisli,Var,7 ileri,S tronic (Yari Otm.),Otomatik,Var,Var,Var,Yok,Yok,Yok,,114 g/km,4.9 lt,,4.3 lt,6.0 lt,50 lt,Yok,7 adet,
2015 BMW 218i Cabrio 1.5 136 BG,BMW,2 Serisi,218I Cabrio,Turkiye Paketi,Binek,Cabrio,Premium C,2015,Almanya,Icten Yanmali (Standart),3661,Benzin,Cift Turbo,3,1499 cc,Cok Noktadan Enjeksiyon,205 km/s,220 nm,136 BG,9.6 saniye,1590 kg,1774 mm,4432 mm,1413 mm,,280 lt,2.0,Mekanik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,55 %,205/55 R16,205 mm,,,,,,,,,,Arkadan Itisli,Var,8 ileri,Steptronic,Otomatik,Var,,Var,,,,,124 g/km,5.3 lt,,4.6 lt,6.5 lt,52 lt,,4 adet,
2016 BMW 218i Cabrio 1.5 136 BG,BMW,2 Serisi,218I Cabrio,Turkiye Paketi,Binek,Cabrio,Premium C,2016,Almanya,Icten Yanmali (Standart),3661,Benzin,Cift Turbo,3,1499 cc,Cok Noktadan Enjeksiyon,205 km/s,220 nm,136 BG,9.6 saniye,1590 kg,1774 mm,4432 mm,1413 mm,,280 lt,2.0,Mekanik Park Freni,Var,Var,Var,Var,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,55 %,205/55 R16,205 mm,,,,,,,,,,Arkadan Itisli,Var,8 ileri,Steptronic,Otomatik,Var,,Var,,,,,124 g/km,5.3 lt,,4.6 lt,6.5 lt,52 lt,,4 adet,
2015 Audi A5 Cabrio 2.0 TDI 177 HP Multitronic,Audi,A5,A5 Cabrio,Standart,Binek,Cabrio,Premium D,2015,Almanya,Icten Yanmali (Standart),10613,Dizel,Turbo,4,1968 cc,Common Rail Direkt Enjeksiyon,226 km/s,400 nm,177 BG,8.3 saniye,1820 kg,1854 mm,4626 mm,1383 mm,750 lt,380 lt,2.0,Elektronik Park Freni,Yok,Yok,Yok,Yok,Otomatik Klima,Deri,4.0,Manuel,Manuel,Halojen,Var,17 inc,Alasimli,50 %,225/50 R17,225 mm,,,,,,,,,,Onden Cekisli,Var,8 ileri,Multitronic (Degisken Oranli),Otomatik,Var,Var,Var,,,,,139 g/km,5.2 lt,,4.9 lt,5.9 lt,61 lt,,4 adet,
2015 Audi A5 Cabrio 2.0 TFSI 225 HP Quattro S tronic (4x4),Audi,A5,A5 Cabrio,Standart,Binek,Cabrio,Premium D,2015,Almanya,Icten Yanmali (Standart),10613,Benzin,Turbo,4,1984 cc,Cok Noktadan Enjeksiyon,240 km/s,350 nm,225 BG,7.2 saniye,1810 kg,1854 mm,4626 mm,1383 mm,750 lt,380 lt,2.0,Elektronik Park Freni,Yok,Yok,Yok,Yok,Otomatik Klima,Deri,4.0,Manuel,Manuel,Halojen,Var,17 inc,Alasimli,50 %,225/50 R17,225 mm,,,,,,,,,,4x4 Cekisli,Var,7 ileri,S tronic (Yari Otm.),Otomatik,Var,Var,Var,,,,,175 g/km,7.6 lt,,6.6 lt,9.3 lt,61 lt,,4 adet,
2016 Aston Martin DB9 Volante V12 6.0 517 PS Touchtronic,Aston Martin,DB9,Db9 Volante V12,Standart,Binek,Cabrio,S,2016,Ingiltere,Icten Yanmali (Standart),85377,Benzin,Atmosferik,12,5935 cc,Direkt Enjeksiyon,295 km/s,620 nm,517 BG,4.6 saniye,1890 kg,2061 mm,4720 mm,1282 mm,227 lt,,2.0,,,Var,Var,,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Bi-Xenon,,20 inc,Alasimli,35 %,245/35 R20,245 mm,,,,,,,,,,Arkadan Itisli,Var,6 ileri,Touchtronic II,Otomatik,Var,Var,,Var,,,,333 g/km,14.3 lt,,10.0 lt,21.6 lt,78 lt,,4 adet,
2015 BMW 6 Cabrio 640d xDrive 3.0 313 BG Otomatik (4x4),BMW,6 Serisi,6 Cabrio 640D,Turkiye Paketi,Binek,Cabrio,S,2015,Almanya,Icten Yanmali (Standart),26654,Dizel,Turbo,6,2993 cc,Common Rail Direkt Enjeksiyon,250 km/s,630 nm,313 BG,5.3 saniye,2005 kg,1894 mm,4894 mm,1365 mm,,220 lt,2.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Adaptif LED,Var,17 inc,Alasimli,55 %,225/55 R17,225 mm,,,,,,,,,,4x4 Cekisli,Var,8 ileri,Steptronic Spor,Otomatik,Var,,Yok,,,Var,,149 g/km,5.6 lt,,5.1 lt,6.5 lt,70 lt,Var,4 adet,
2016 Ferrari California T 3.8 V8 560 HP,Ferrari,California T,California T,Standart,Binek,Cabrio,S,2016,Italya,Icten Yanmali (Standart),59730,Benzin,Turbo,8,3855 cc,Cok Noktadan Enjeksiyon,316 km/s,755 nm,560 BG,3.6 saniye,1730 kg,1910 mm,4570 mm,1322 mm,340 lt,240 lt,2.0,Elektronik Park Freni,Var,Yok,Yok,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Xenon,Yok,19 inc,Alasimli,40 %,245/40 R19,245 mm,,,,,,,,,,Arkadan Itisli,Var,7 ileri,Yari Otomatik,Otomatik,Var,Var,Yok,Var,,Var,,250 g/km,10.5 lt,,,,78 lt,,4 adet,
2016 Lamborghini Aventador LP 700-4 Roadster 6.5L V12 700 HP (4x4),Lamborghini,Aventador,Aventador Lp 700-4 Roadster 6.5L V12,Standart,Binek,Cabrio,S,2016,Italya,Icten Yanmali (Standart),85377,Benzin,Atmosferik,12,6498 cc,Cok Noktadan Enjeksiyon,350 km/s,690 nm,700 BG,3.0 saniye,1625 kg,2030 mm,4780 mm,1136 mm,,,2.0,Elektronik Park Freni,Yok,Var,Yok,Yok,Otomatik Klima,Deri,2.0,Elektrikli,Elektrikli,LED,Yok,19 inc,Alasimli,35 %,255/35 R19,255 mm,,,,,,,,,,4x4 Cekisli,Var,7 ileri,LDF (Lamborghini Otm.),Otomatik,Var,Var,Var,,,,,370 g/km,16.0 lt,,10.7 lt,24.7 lt,90 lt,Var,6 adet,
2016 Maserati GranCabrio 4.7 V8 440 HP Otomatik,Maserati,GranCabrio,Grancabrio,Standart,Binek,Cabrio,S,2016,Italya,Icten Yanmali (Standart),85377,Benzin,Cift Turbo,8,4691 cc,Cok Noktadan Enjeksiyon,285 km/s,490 nm,440 BG,5.2 saniye,1980 kg,1915 mm,4881 mm,1353 mm,,173 lt,2.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Bi-Xenon,Var,20 inc,Alasimli,35 %,245/35 R20,245 mm,,,,,,,,,,Arkadan Itisli,Var,6 ileri,ZF6 (Otomatik),Otomatik,Var,Var,Yok,Var,,Var,,337 g/km,14.5 lt,,9.8 lt,22.5 lt,75 lt,,4 adet,
2016 Maserati GranCabrio Sport 4.7 V8 450 HP Otomatik,Maserati,GranCabrio,Grancabrio Sport,Standart,Binek,Cabrio,S,2016,Italya,Icten Yanmali (Standart),85377,Benzin,Cift Turbo,8,4691 cc,Cok Noktadan Enjeksiyon,285 km/s,510 nm,450 BG,5.0 saniye,1980 kg,1915 mm,4881 mm,1353 mm,,173 lt,2.0,Elektronik Park Freni,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Bi-Xenon,Var,20 inc,Alasimli,35 %,245/35 R20,245 mm,,,,,,,,,,Arkadan Itisli,Var,6 ileri,ZF6 (Otomatik),Otomatik,Var,Var,Yok,Var,,Var,,337 g/km,14.5 lt,,9.8 lt,22.5 lt,75 lt,,4 adet,
