MARKA,TEMEL OZELLIKLER - Seri,MODEL,TEMEL OZELLIKLER - Donanim Paketi,TEMEL OZELLIKLER - Arac Turu,TEMEL OZELLIKLER - Govde Tipi,TEMEL OZELLIKLER - Segment,TEMEL OZELLIKLER - Model Yili,TEMEL OZELLIKLER - Ait Oldugu Ulke,TEMEL OZELLIKLER - Motor Tipi,TEMEL OZELLIKLER - Motorlu Tasit Vergisi,TEMEL OZELLIKLER - Yakit Tipi,MOTOR (Icten Yanmali) - Besleme Tipi,MOTOR (Icten Yanmali) - Silindir Adedi,MOTOR (Icten Yanmali) - Silindir Hacmi,MOTOR (Icten Yanmali) - Yakit Puskurtme,PERFORMANS - Azami Hiz,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gucu (Toplam),PERFORMANS - 0 - 100 Km Hizlanma,AGIRLIK & OLCULER - Agirlik,AGIRLIK & OLCULER - Genislik,AGIRLIK & OLCULER - Uzunluk,AGIRLIK & OLCULER - Yukseklik,BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk),BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk),CAMLAR & AYNALAR - Acilir Tavan,CAMLAR & AYNALAR - Arka Yan Cam Ayarlari,CAMLAR & AYNALAR - Ic Dikiz Aynasi,CAMLAR & AYNALAR - On Yan Cam Ayarlari,CAMLAR & AYNALAR - Panoramik Cam Tavan,CAMLAR & AYNALAR - Yan Dikiz Aynalari,DIREKSIYON OZELLIKLERI - Direksiyon Ozellikleri,DIREKSIYON OZELLIKLERI - Direksiyon Sistemi,DIS GOVDE - Dis Govde Ozellikleri,DIS GOVDE - Kapi Sayisi,FRENLER & SUSPANSIYON - ABS Fren Sistemi,FRENLER & SUSPANSIYON - Arka Suspansiyonlar,FRENLER & SUSPANSIYON - Ayarlanir Suspansiyon,FRENLER & SUSPANSIYON - Fren Destek Sistemleri,FRENLER & SUSPANSIYON - On Suspansiyonlar,FRENLER & SUSPANSIYON - Park Freni Tipi,GOSTERGELER & SENSORLER - Far Sensoru,GOSTERGELER & SENSORLER - Gostergeler & Bildirimler,GOSTERGELER & SENSORLER - Lastik Basinc Sensoru,GOSTERGELER & SENSORLER - Park Sensoru & Yardimi,GOSTERGELER & SENSORLER - Yagmur Sensoru,ISITMA & SOGUTMA - Klima,ISITMA & SOGUTMA - Torpido Ozellikleri,KOLTUKLAR & IC DOSEME - Kol Dayama,KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi,KOLTUKLAR & IC DOSEME - Koltuk Isitma - Sogutma,KOLTUKLAR & IC DOSEME - Koltuk Sayisi,KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari,KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari,LAMBALAR & AYDINLATMA - Far Tipi,LAMBALAR & AYDINLATMA - Sis Farlari,LASTIK & JANT - Jant Capi,LASTIK & JANT - Jant Tipi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Taban Genisligi,Başlık,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Garantisi,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil,MOTOR (Elektrikli) - Menzil (WLTP - Birlesik),MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici),MOTOR (Elektrikli) - Motor Gucu,MOTOR (Elektrikli) - Ortalama Tuketim (Elk.),MOTOR (Elektrikli) - Sarj Suresi,MUZIK & EGLENCE - Harici Giris - Cikis,NAVIGASYON & BLUETOOTH - Bluetooth Telefon,NAVIGASYON & BLUETOOTH - Navigasyon,SANZIMAN & CEKIS SISTEMI - Cekis,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Ozellikleri,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi,SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi,SANZIMAN & CEKIS SISTEMI - Sanziman Ozellikleri,SANZIMAN & CEKIS SISTEMI - Sanziman Turu,SURUS DESTEK SISTEMLERI - Denge Kontrol Ozellikleri,SURUS DESTEK SISTEMLERI - Denge Kontrol Sistemi,SURUS DESTEK SISTEMLERI - Diferansiyel Kilidi,SURUS DESTEK SISTEMLERI - Dur & Kalk (Stop & Start),SURUS DESTEK SISTEMLERI - Hiz Sabitleme & Sinirlama,SURUS DESTEK SISTEMLERI - Serit Takip Sistemi,SURUS DESTEK SISTEMLERI - Yokus Kalkis Destegi,SURUS DESTEK SISTEMLERI - Yorgunluk Tespit Sistemi,TEMEL OZELLIKLER - Engelli Bireyler Icin OTV Muafiyeti,YAKIT TUKETIMI & EMISYON - Cevre Standardi (Emisyon),YAKIT TUKETIMI & EMISYON - Ortalama Emisyon,YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km),YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km/WLTP),YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi,YOLCU EMNIYETI - Anahtarsiz Sistem,YOLCU EMNIYETI - Carpisma Testi (NCAP/ANCAP),YOLCU EMNIYETI - Hava Yastigi,YOLCU EMNIYETI - Hava Yastigi Adedi,YOLCU EMNIYETI - Hava Yastigi Cesitleri,YOLCU EMNIYETI - NCAP/ANCAP Puani,YOLCU EMNIYETI - NCAP/ANCAP Yili
Ford,Tourneo Connect,Tourneo Connect,Titanium,Binek,MPV,B,2015,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1560 cc,Common Rail Direkt Enjeksiyon,165 km/s,270 nm,115 BG,13.8 saniye,1612 kg,1835 mm,4418 mm,1854 mm,2410 lt,1029 lt,Yok,Elektrikli,Standart,Elektrikli,Var,Elektrikli,Deri Direksiyon Simidi | Derinlik Ayari | Dort Kollu Tasarim | Muzik Sistemi Kumanda Tuslari | Yukseklik Ayari,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Kapi Kollari | Govde Rengi Tamponlar | Govde Rengi Yan Koruma Citalari | Krom Detayli On Izgara | Tavan Raylari,5,Var,Yari Bagimsiz Suspansiyon,Yok,Acil Fren Destek Sistemi,Bagimsiz MacPherson Dengeleyici Yay,Mekanik Park Freni,Var,,Var,Yok,Var,Manuel Klima,Kilitlenebilir,Yok,Kumas,,5,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,60 %,205/60 R16,205 mm,2015 Ford Tourneo Connect 1.6 L TDCI 115 PS Titanium,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,6 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,Var,,Var,,,,128 g/km,4.9 lt,,4.4 lt,5.7 lt,60 lt,,Var,Var,1 adet,Surucu Hava Yastigi,5 yildiz,2013
Ford,Tourneo Connect,Tourneo Connect,Deluxe,Binek,MPV,B,2015,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1560 cc,Common Rail Direkt Enjeksiyon,160 km/s,230 nm,95 BG,14.7 saniye,1599 kg,1835 mm,4418 mm,1854 mm,2410 lt,1029 lt,Yok,Elektrikli,Standart,Elektrikli,Yok,Elektrikli,Deri Direksiyon Simidi | Derinlik Ayari | Dort Kollu Tasarim | Muzik Sistemi Kumanda Tuslari | Yukseklik Ayari,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Kapi Kollari | Govde Rengi On Tampon | Siyah Yan Citalar,5,Var,Yari Bagimsiz Suspansiyon,Yok,Acil Fren Destek Sistemi,Bagimsiz MacPherson Dengeleyici Yay,Mekanik Park Freni,Yok,,Var,Yok,Yok,Manuel Klima,Kilitlenebilir,Yok,Kumas,,5,Manuel,Manuel,Halojen,Yok,16 inc,Alasimli,60 %,205/60 R16,205 mm,2015 Ford Tourneo Connect 1.6 L TDCI 95 PS Deluxe,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,Var,,Var,,,,128 g/km,4.9 lt,,4.5 lt,5.5 lt,60 lt,,Var,Var,1 adet,Surucu Hava Yastigi,5 yildiz,2013
Ford,Tourneo Connect,Tourneo Connect,Titanium,Binek,MPV,B,2016,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1499 cc,Common Rail Direkt Enjeksiyon,168 km/s,300 nm,120 BG,12.9 saniye,1548 kg,1835 mm,4418 mm,1852 mm,2410 lt,1029 lt,,Elektrikli,Otomatik Kararan,Elektrikli,Var,Elektrikli,Deri Direksiyon Simidi | Dort Kollu Tasarim | Muzik Sistemi Kumanda Tuslari | Yukseklik & Derinlik Ayari,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Kapi Kollari | Govde Rengi Tamponlar | Govde Rengi Yan Koruma Citalari | Krom Detayli On Izgara | Tavan Raylari,5,Var,,,Acil Fren Destek Sistemi,,Mekanik Park Freni,Var,,Var,Var,Var,Otomatik Klima,Aydinlatmali | Kilitlenebilir,Yok,Kumas,,5,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,60 %,205/60 R16,205 mm,2016 Ford Tourneo Connect 1.5 TDCI 120 PS Powershift Titanium,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,6 ileri,PowerShift (Yari Otm.),Otomatik,ESP (Elektronik Denge Kontrolu),Var,,Yok,Var,Yok,Var,Yok,,Euro 6,129 g/km,5.0 lt,,4.7 lt,5.4 lt,60 lt,,Var,Var,4 adet,On Yolcu Hava Yastigi | Surucu Hava Yastigi | Yan Hava Yastiklari,5 yildiz,2013
Ford,Tourneo Connect,Tourneo Connect,Titanium,Binek,MPV,B,2016,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1560 cc,Common Rail Direkt Enjeksiyon,165 km/s,270 nm,115 BG,13.8 saniye,1541 kg,1835 mm,4418 mm,1852 mm,2410 lt,1029 lt,,Elektrikli,Otomatik Kararan,Elektrikli,Var,Elektrikli,Deri Direksiyon Simidi | Dort Kollu Tasarim | Muzik Sistemi Kumanda Tuslari | Yukseklik & Derinlik Ayari,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Kapi Kollari | Govde Rengi Tamponlar | Govde Rengi Yan Koruma Citalari | Krom Detayli On Izgara | Tavan Raylari,5,Var,,,Acil Fren Destek Sistemi,,Mekanik Park Freni,Var,,Var,Var,Var,Otomatik Klima,Aydinlatmali | Kilitlenebilir,Yok,Kumas,,5,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,60 %,205/60 R16,205 mm,2016 Ford Tourneo Connect 1.6 TDCI 115 PS Titanium,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,6 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,Var,Yok,Var,Yok,,Euro 5,128 g/km,4.9 lt,,4.4 lt,5.7 lt,60 lt,,Var,Var,4 adet,On Yolcu Hava Yastigi | Surucu Hava Yastigi | Yan Hava Yastiklari,5 yildiz,2013
Ford,Tourneo Connect,Tourneo Connect,Deluxe,Binek,MPV,B,2016,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1560 cc,Common Rail Direkt Enjeksiyon,160 km/s,230 nm,95 BG,14.7 saniye,1524 kg,1835 mm,4418 mm,1852 mm,2410 lt,1029 lt,,Elektrikli,Standart,Elektrikli,Yok,Manuel,Deri Direksiyon Simidi | Dort Kollu Tasarim | Muzik Sistemi Kumanda Tuslari | Yukseklik & Derinlik Ayari,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Kapi Kollari | Govde Rengi On Tampon | Siyah Yan Citalar,5,Var,,,Acil Fren Destek Sistemi,,Mekanik Park Freni,Yok,,Var,Yok,Yok,Manuel Klima,Kilitlenebilir,Yok,Kumas,,5,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,60 %,205/60 R16,205 mm,2016 Ford Tourneo Connect 1.6 TDCI 95 PS Deluxe,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,Var,Yok,Var,Yok,,Euro 5,128 g/km,4.8 lt,,4.3 lt,5.5 lt,60 lt,,Var,Var,1 adet,Surucu Hava Yastigi,5 yildiz,2013
Ford,Tourneo Connect,Tourneo Connect,Titanium,Binek,MPV,B,2017,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1499 cc,Common Rail Direkt Enjeksiyon,168 km/s,300 nm,120 BG,12.9 saniye,1548 kg,1835 mm,4418 mm,1852 mm,2410 lt,1029 lt,,Elektrikli,Otomatik Kararan,Elektrikli,Var,Elektrikli,Deri Direksiyon Simidi | Dort Kollu Tasarim | Muzik Sistemi Kumanda Tuslari | Yukseklik & Derinlik Ayari,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Kapi Kollari | Govde Rengi Tamponlar | Govde Rengi Yan Koruma Citalari | Krom Detayli On Izgara | Tavan Raylari,5,Var,,,Acil Fren Destek Sistemi,,Mekanik Park Freni,Var,,Var,Var,Var,Otomatik Klima,Aydinlatmali | Kilitlenebilir,Yok,Kumas,,5,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,60 %,205/60 R16,205 mm,2017 Ford Tourneo Connect 1.5 TDCI 120 PS Powershift Titanium,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,6 ileri,PowerShift (Yari Otm.),Otomatik,ESP (Elektronik Denge Kontrolu),Var,,Yok,Var,Yok,Var,Yok,,Euro 6,129 g/km,5.0 lt,,4.7 lt,5.4 lt,60 lt,,Var,Var,4 adet,On Yolcu Hava Yastigi | Surucu Hava Yastigi | Yan Hava Yastiklari,5 yildiz,2013
Ford,Tourneo Courier,Tourneo Courier,Deluxe,Ticari,Kombi,Mini Ticari,2015,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1498 cc,Common Rail Direkt Enjeksiyon,157 km/s,190 nm,75 BG,16.0 saniye,1278 kg,1976 mm,4157 mm,1726 mm,1656 lt,708 lt,Yok,Manuel,Standart,Elektrikli,Yok,Elektrikli,Deri Direksiyon Simidi | Muzik Sistemi Kumanda Tuslari | 3 Kollu Sportif Tasarim,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Arka Tampon | Govde Rengi Kapi Kollari | Govde Rengi Yan Koruma Citalari | Krom Cerceveli Radyator Izgarasi | Yukari Acilir Bagaj Kapagi,5,Var,,Yok,EBA (Acil Fren Destegi) | EBD (Elektronik Fren Dagitimi) | Fren Enerjisi Geri Kazanimi,Bagimsiz MacPherson Suspansiyon,Mekanik Park Freni,Yok,,Yok,Yok,Yok,Manuel Klima,Aydinlatmali,Yok,Kumas,,5,Manuel,Manuel,Halojen,Var,15 inc,Kapakli Sac,60 %,195/60 R15,195 mm,2015 Ford Tourneo Courier 1.5 TDCi 75 PS Deluxe,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,,,Var,,,,108 g/km,4.1 lt,,3.7 lt,4.7 lt,47 lt,,Var,Var,2 adet,On Yolcu Hava Yastigi | Surucu Hava Yastigi,4 yildiz,2014
Ford,Tourneo Courier,Tourneo Courier,Trend,Ticari,Kombi,Mini Ticari,2015,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1498 cc,Common Rail Direkt Enjeksiyon,157 km/s,190 nm,75 BG,16.0 saniye,1278 kg,1976 mm,4157 mm,1726 mm,1656 lt,708 lt,Yok,Manuel,Standart,Elektrikli,Yok,Elektrikli,,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Yukari Acilir Bagaj Kapagi,5,Var,,Yok,EBA (Acil Fren Destegi) | EBD (Elektronik Fren Dagitimi) | Fren Enerjisi Geri Kazanimi,Bagimsiz MacPherson Suspansiyon,Mekanik Park Freni,Yok,,Yok,Yok,Yok,Manuel Klima,Aydinlatmali,Yok,Kumas,,5,Manuel,Manuel,Halojen,Yok,15 inc,Kapakli Sac,60 %,195/60 R15,195 mm,2015 Ford Tourneo Courier 1.5 TDCi 75 PS Trend,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,,,Var,,,,108 g/km,4.1 lt,,3.7 lt,4.7 lt,47 lt,,Var,Var,2 adet,On Yolcu Hava Yastigi | Surucu Hava Yastigi,4 yildiz,2014
Ford,Tourneo Courier,Tourneo Courier,Journey Titanium Plus,Ticari,Kombi,Mini Ticari,2015,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1560 cc,Common Rail Direkt Enjeksiyon,170 km/s,215 nm,95 BG,14.0 saniye,1280 kg,1976 mm,4157 mm,1726 mm,1656 lt,708 lt,Yok,Manuel,Otomatik Kararan,Elektrikli,Yok,Elektrikli,Deri Direksiyon Simidi | Muzik Sistemi Kumanda Tuslari | 3 Kollu Sportif Tasarim,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Arka Tampon | Govde Rengi Kapi Kollari | Govde Rengi Yan Koruma Citalari | Krom Cerceveli On Izgara | Tavan Raylari | Yukari Acilir Camli Bagaj Kapagi,5,Var,,Yok,Akilli Sarj (Fren Enerjisi Geri Kazanimi) | EBA (Acil Fren Destegi) | EBD (Elektronik Fren Dagitimi),Bagimsiz MacPherson Suspansiyon,Mekanik Park Freni,Var,,Var,Var,Var,Otomatik Klima,Aydinlatmali,Var,Kumas,Isitmali On Yolcu Koltugu | Isitmali Surucu Koltugu,5,Manuel,Manuel,Halojen,Var,15 inc,Kapakli Sac,60 %,195/60 R15,195 mm,2015 Ford Tourneo Courier 1.6 TDCi 95 PS Journey Titanium Plus,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Var,Var,,Var,,,Euro 5,100 g/km,3.8 lt,,3.5 lt,4.4 lt,47 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,4 yildiz,2014
Ford,Tourneo Courier,Tourneo Courier,Journey Titanium,Ticari,Kombi,Mini Ticari,2015,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1560 cc,Common Rail Direkt Enjeksiyon,170 km/s,215 nm,95 BG,14.0 saniye,1280 kg,1976 mm,4157 mm,1726 mm,1656 lt,708 lt,Yok,Manuel,Otomatik Kararan,Elektrikli,Yok,Elektrikli,Deri Direksiyon Simidi | Muzik Sistemi Kumanda Tuslari | 3 Kollu Sportif Tasarim,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Arka Tampon | Govde Rengi Kapi Kollari | Govde Rengi Yan Koruma Citalari | Krom Cerceveli On Izgara | Tavan Raylari | Yukari Acilir Camli Bagaj Kapagi,5,Var,,Yok,Akilli Sarj (Fren Enerjisi Geri Kazanimi) | EBA (Acil Fren Destegi) | EBD (Elektronik Fren Dagitimi),Bagimsiz MacPherson Suspansiyon,Mekanik Park Freni,Var,,Var,Yok,Var,Otomatik Klima,Aydinlatmali,Var,Kumas,,5,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,55 %,195/55 R16,195 mm,2015 Ford Tourneo Courier 1.6 TDCi 95 PS Journey Titanium,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,Var,,Var,,,Euro 5,100 g/km,3.8 lt,,3.5 lt,4.4 lt,47 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,4 yildiz,2014
Ford,Tourneo Courier,Tourneo Courier,Journey Trend,Ticari,Kombi,Mini Ticari,2015,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1560 cc,Common Rail Direkt Enjeksiyon,170 km/s,215 nm,95 BG,14.0 saniye,1280 kg,1976 mm,4157 mm,1726 mm,1656 lt,708 lt,Yok,Manuel,Standart,Elektrikli,Yok,Elektrikli,,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Yukari Acilir Camli Bagaj Kapagi,5,Var,,Yok,Akilli Sarj (Fren Enerjisi Geri Kazanimi) | EBA (Acil Fren Destegi) | EBD (Elektronik Fren Dagitimi),Bagimsiz MacPherson Suspansiyon,Mekanik Park Freni,Yok,,Var,Yok,Yok,Manuel Klima,Aydinlatmali,Yok,Kumas,,5,Manuel,Manuel,Halojen,Yok,15 inc,Kapakli Sac,60 %,195/60 R15,195 mm,2015 Ford Tourneo Courier 1.6 TDCi 95 PS Journey Trend,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,,,Var,,,Euro 5,100 g/km,3.8 lt,,3.5 lt,4.4 lt,47 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,4 yildiz,2014
Ford,Tourneo Courier,Tourneo Courier,Titanium Plus,Ticari,Kombi,Mini Ticari,2015,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1560 cc,Common Rail Direkt Enjeksiyon,170 km/s,215 nm,95 BG,14.0 saniye,1280 kg,1976 mm,4157 mm,1726 mm,1656 lt,708 lt,Yok,Manuel,Otomatik Kararan,Elektrikli,Yok,Elektrikli,Deri Direksiyon Simidi | Muzik Sistemi Kumanda Tuslari | 3 Kollu Sportif Tasarim,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Arka Tampon | Govde Rengi Kapi Kollari | Govde Rengi Yan Koruma Citalari | Krom Cerceveli Radyator Izgarasi | Tavan Raylari | Yukari Acilir Bagaj Kapagi,5,Var,,Yok,EBA (Acil Fren Destegi) | EBD (Elektronik Fren Dagitimi) | Fren Enerjisi Geri Kazanimi,Bagimsiz MacPherson Suspansiyon,Mekanik Park Freni,Var,,Var,Var,Var,Otomatik Klima,Aydinlatmali,Var,Kumas,Isitmali On Yolcu Koltugu | Isitmali Surucu Koltugu,5,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,55 %,195/55 R16,195 mm,2015 Ford Tourneo Courier 1.6 TDCi 95 PS Titanium Plus,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Var,Var,,Var,,,,105 g/km,4.0 lt,,3.6 lt,4.7 lt,47 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,4 yildiz,2014
Ford,Tourneo Courier,Tourneo Courier,Titanium,Ticari,Kombi,Mini Ticari,2015,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1560 cc,Common Rail Direkt Enjeksiyon,170 km/s,215 nm,95 BG,14.0 saniye,1280 kg,1976 mm,4157 mm,1726 mm,1656 lt,708 lt,Yok,Manuel,Otomatik Kararan,Elektrikli,Yok,Elektrikli,Deri Direksiyon Simidi | Muzik Sistemi Kumanda Tuslari | 3 Kollu Sportif Tasarim,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Arka Tampon | Govde Rengi Kapi Kollari | Govde Rengi Yan Koruma Citalari | Krom Cerceveli Radyator Izgarasi | Tavan Raylari | Yukari Acilir Bagaj Kapagi,5,Var,,Yok,EBA (Acil Fren Destegi) | EBD (Elektronik Fren Dagitimi) | Fren Enerjisi Geri Kazanimi,Bagimsiz MacPherson Suspansiyon,Mekanik Park Freni,Var,,Yok,Yok,Var,Otomatik Klima,Aydinlatmali,Var,Kumas,,5,Manuel,Manuel,Halojen,Var,15 inc,Kapakli Sac,60 %,195/60 R15,195 mm,2015 Ford Tourneo Courier 1.6 TDCi 95 PS Titanium,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,Var,,Var,,,,105 g/km,4.0 lt,,3.6 lt,4.7 lt,47 lt,,Var,Var,2 adet,On Yolcu Hava Yastigi | Surucu Hava Yastigi,4 yildiz,2014
Ford,Tourneo Courier,Tourneo Courier,Deluxe,Ticari,Kombi,Mini Ticari,2016,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1498 cc,Common Rail Direkt Enjeksiyon,157 km/s,190 nm,75 BG,16.0 saniye,1278 kg,1976 mm,4157 mm,1726 mm,1656 lt,708 lt,,Manuel,Standart,Elektrikli,,Elektrikli,Deri Direksiyon Simidi | Muzik Sistemi Kumanda Tuslari | 3 Kollu Sportif Tasarim,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Govde Rengi Arka Tampon | Govde Rengi Kapi Kollari | Govde Rengi Yan Koruma Citalari | Krom Cerceveli On Izgara | Yukari Acilir Camli Bagaj Kapagi,5,Var,,,EBA (Acil Fren Destegi) | EBD (Elektronik Fren Dagitimi) | Fren Enerjisi Geri Kazanimi,,Mekanik Park Freni,Yok,,Yok,Yok,Yok,Manuel Klima,Aydinlatmali,Yok,Kumas,,5,Manuel,Manuel,Halojen,Var,15 inc,Alasimli,60 %,195/60 R15,195 mm,2016 Ford Tourneo Courier 1.5 TDCi 75 PS Deluxe,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,Yok,,Var,,,Euro 5,108 g/km,4.1 lt,,3.7 lt,4.7 lt,47 lt,,Var,Var,2 adet,On Yolcu Hava Yastigi | Surucu Hava Yastigi,4 yildiz,2014
Ford,Tourneo Courier,Tourneo Courier,Trend,Ticari,Kombi,Mini Ticari,2016,Amerika,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1498 cc,Common Rail Direkt Enjeksiyon,157 km/s,190 nm,75 BG,16.0 saniye,1278 kg,1976 mm,4157 mm,1726 mm,1656 lt,708 lt,,Manuel,Standart,Elektrikli,,Elektrikli,,Elektrik Destekli,Cift Taraf Kayar Arka Kapilar | Yukari Acilir Camli Bagaj Kapagi,5,Var,,,EBA (Acil Fren Destegi) | EBD (Elektronik Fren Dagitimi) | Fren Enerjisi Geri Kazanimi,,Mekanik Park Freni,Yok,,Yok,Yok,Yok,Manuel Klima,Aydinlatmali,Yok,Kumas,,5,Manuel,Manuel,Halojen,Yok,15 inc,Kapakli Sac,60 %,195/60 R15,195 mm,2016 Ford Tourneo Courier 1.5 TDCi 75 PS Trend,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,,Yok,5 ileri,,Manuel,ESP (Elektronik Denge Kontrolu),Var,,Yok,Yok,,Var,,,Euro 5,108 g/km,4.1 lt,,3.7 lt,4.7 lt,47 lt,,Var,Var,2 adet,On Yolcu Hava Yastigi | Surucu Hava Yastigi,4 yildiz,2014
