BASLIK,TEMEL OZELLIKLER - Yakit Tipi,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP - Birlesik),MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici),MOTOR (Elektrikli) - Motor Gucu,MOTOR (Elektrikli) - Ortalama Tuketim (Elk.),MOTOR (Elektrikli) - Sarj Suresi,AGIRLIK & OLCULER - Agirlik,BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk),BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk),DIS GOVDE - Kapi Sayisi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Taban Genisligi,LASTIK & JANT - Jant Capi,LASTIK & JANT - Jant Tipi,FRENLER & SUSPANSIYON - Park Freni Tipi,SANZIMAN & CEKIS SISTEMI - Cekis,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi,SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi,SANZIMAN & CEKIS SISTEMI - Sanziman Ozellikleri,SANZIMAN & CEKIS SISTEMI - Sanziman Turu,SURUS DESTEK SISTEMLERI - Denge Kontrol Sistemi,SURUS DESTEK SISTEMLERI - Diferansiyel Kilidi,SURUS DESTEK SISTEMLERI - Dur & Kalk (Stop & Start),SURUS DESTEK SISTEMLERI - Hiz Sabitleme & Sinirlama,SURUS DESTEK SISTEMLERI - Serit Takip Sistemi,SURUS DESTEK SISTEMLERI - Yokus Kalkis Destegi,YAKIT TUKETIMI & EMISYON - Cevre Standardi (Emisyon),YAKIT TUKETIMI & EMISYON - Ortalama Emisyon,YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km),YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km/WLTP),YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi,YOLCU EMNIYETI - Anahtarsiz Sistem,YOLCU EMNIYETI - Hava Yastigi Adedi,YOLCU EMNIYETI - NCAP/ANCAP Puani,GOSTERGELER & SENSORLER - Far Sensoru,GOSTERGELER & SENSORLER - Lastik Basinc Sensoru,GOSTERGELER & SENSORLER - Park Sensoru & Yardimi,GOSTERGELER & SENSORLER - Yagmur Sensoru,ISITMA & SOGUTMA - Klima,KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi,KOLTUKLAR & IC DOSEME - Koltuk Sayisi,KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari,KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari,LAMBALAR & AYDINLATMA - Far Tipi,LAMBALAR & AYDINLATMA - Sis Farlari
2015 Opel Cascada 1.6 170 HP Otomatik Cosmo,Benzin,,,,,,,,,1658 kg,750 lt,380 lt,2.0,50 %,235/50 R18,235 mm,18 inc,Alasimli,Elektronik Park Freni,Onden Cekisli,Yok,6 ileri,Standart Otomatik,Otomatik,Var,,Yok,Var,,Var,,219 g/km,7.3 lt,,6.1 lt,9.5 lt,56 lt,,4 adet,,Var,Yok,Var,Var,Otomatik Klima,Deri,4.0,Manuel,Manuel,Bi-Xenon,Var
2015 Opel Cascada 2.0 DTH 165 HP Otomatik Cosmo,Dizel,,,,,,,,,1741 kg,750 lt,380 lt,2.0,50 %,235/50 R18,235 mm,18 inc,Alasimli,Elektronik Park Freni,Onden Cekisli,Yok,6 ileri,Standart Otomatik,Otomatik,Var,,Yok,Var,,Var,,212 g/km,6.2 lt,,5.0 lt,8.2 lt,56 lt,,4 adet,,Var,Yok,Var,Var,Otomatik Klima,Deri,4.0,Manuel,Manuel,Bi-Xenon,Var
2016 Rolls Royce Phantom Drophead Coupe 6.75 V12 460 HP,Benzin,,,,,,,,,2719 kg,,315 lt,2.0,50 %,255/50 R21,255 mm,21 inc,Alasimli,Elektronik Park Freni,Arkadan Itisli,Var,8 ileri,ZF8 (Otomatik),Otomatik,Var,,Yok,Var,,,,347 g/km,14.8 lt,,10.2 lt,22.8 lt,80 lt,Var,4 adet,,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,LED,Var
2015 Citroen DS 3 Cabriolet 1.6 e-HDi 92 HP MCP STT DSport,Dizel,,,,,,,,,1155 kg,980 lt,285 lt,2.0,45 %,205/45 R17,205 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,MCP (Yari Otm.),Otomatik,Var,,Var,Var,,Var,,99 g/km,3.8 lt,,3.5 lt,4.3 lt,50 lt,,4 adet,5 yildiz,Var,Yok,Var,Var,Otomatik Klima,Kumas & Deri,4.0,Manuel,Manuel,Halojen,Var
2015 Audi A3 Cabrio 1.4 TFSI 150 HP Attraction S tronic,Benzin,,,,,,,,,1380 kg,,320 lt,2.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Elektronik Park Freni,Onden Cekisli,Var,7 ileri,S tronic (Yari Otm.),Otomatik,Var,Var,Var,,,,,114 g/km,4.9 lt,,4.3 lt,6.0 lt,50 lt,,7 adet,5 yildiz,Yok,Yok,Yok,Yok,Manuel Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var
2016 Audi A3 Cabrio 1.4 TFSI 150 HP S tronic Attraction,Benzin,,,,,,,,,1380 kg,,320 lt,2.0,45 %,225/45 R17,225 mm,17 inc,Alasimli,Elektronik Park Freni,Onden Cekisli,Var,7 ileri,S tronic (Yari Otm.),Otomatik,Var,Var,Var,Yok,Yok,Yok,,114 g/km,4.9 lt,,4.3 lt,6.0 lt,50 lt,Yok,7 adet,,Yok,Yok,Yok,Yok,Manuel Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var
2015 BMW 218i Cabrio 1.5 136 BG,Benzin,,,,,,,,,1590 kg,,280 lt,2.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Arkadan Itisli,Var,8 ileri,Steptronic,Otomatik,Var,,Var,,,,,124 g/km,5.3 lt,,4.6 lt,6.5 lt,52 lt,,4 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var
2016 BMW 218i Cabrio 1.5 136 BG,Benzin,,,,,,,,,1590 kg,,280 lt,2.0,55 %,205/55 R16,205 mm,16 inc,Alasimli,Mekanik Park Freni,Arkadan Itisli,Var,8 ileri,Steptronic,Otomatik,Var,,Var,,,,,124 g/km,5.3 lt,,4.6 lt,6.5 lt,52 lt,,4 adet,,Var,Var,Var,Var,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var
2015 Audi A5 Cabrio 2.0 TDI 177 HP Multitronic,Dizel,,,,,,,,,1820 kg,750 lt,380 lt,2.0,50 %,225/50 R17,225 mm,17 inc,Alasimli,Elektronik Park Freni,Onden Cekisli,Var,8 ileri,Multitronic (Degisken Oranli),Otomatik,Var,Var,Var,,,,,139 g/km,5.2 lt,,4.9 lt,5.9 lt,61 lt,,4 adet,,Yok,Yok,Yok,Yok,Otomatik Klima,Deri,4.0,Manuel,Manuel,Halojen,Var
2015 Audi A5 Cabrio 2.0 TFSI 225 HP Quattro S tronic (4x4),Benzin,,,,,,,,,1810 kg,750 lt,380 lt,2.0,50 %,225/50 R17,225 mm,17 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,S tronic (Yari Otm.),Otomatik,Var,Var,Var,,,,,175 g/km,7.6 lt,,6.6 lt,9.3 lt,61 lt,,4 adet,,Yok,Yok,Yok,Yok,Otomatik Klima,Deri,4.0,Manuel,Manuel,Halojen,Var
2016 Aston Martin DB9 Volante V12 6.0 517 PS Touchtronic,Benzin,,,,,,,,,1890 kg,227 lt,,2.0,35 %,245/35 R20,245 mm,20 inc,Alasimli,,Arkadan Itisli,Var,6 ileri,Touchtronic II,Otomatik,Var,Var,,Var,,,,333 g/km,14.3 lt,,10.0 lt,21.6 lt,78 lt,,4 adet,,,Var,Var,,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Bi-Xenon,
2015 BMW 6 Cabrio 640d xDrive 3.0 313 BG Otomatik (4x4),Dizel,,,,,,,,,2005 kg,,220 lt,2.0,55 %,225/55 R17,225 mm,17 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,8 ileri,Steptronic Spor,Otomatik,Var,,Yok,,,Var,,149 g/km,5.6 lt,,5.1 lt,6.5 lt,70 lt,Var,4 adet,,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Adaptif LED,Var
2016 Ferrari California T 3.8 V8 560 HP,Benzin,,,,,,,,,1730 kg,340 lt,240 lt,2.0,40 %,245/40 R19,245 mm,19 inc,Alasimli,Elektronik Park Freni,Arkadan Itisli,Var,7 ileri,Yari Otomatik,Otomatik,Var,Var,Yok,Var,,Var,,250 g/km,10.5 lt,,,,78 lt,,4 adet,,Var,Yok,Yok,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Xenon,Yok
2016 Lamborghini Aventador LP 700-4 Roadster 6.5L V12 700 HP (4x4),Benzin,,,,,,,,,1625 kg,,,2.0,35 %,255/35 R19,255 mm,19 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,LDF (Lamborghini Otm.),Otomatik,Var,Var,Var,,,,,370 g/km,16.0 lt,,10.7 lt,24.7 lt,90 lt,Var,6 adet,,Yok,Var,Yok,Yok,Otomatik Klima,Deri,2.0,Elektrikli,Elektrikli,LED,Yok
2016 Maserati GranCabrio 4.7 V8 440 HP Otomatik,Benzin,,,,,,,,,1980 kg,,173 lt,2.0,35 %,245/35 R20,245 mm,20 inc,Alasimli,Elektronik Park Freni,Arkadan Itisli,Var,6 ileri,ZF6 (Otomatik),Otomatik,Var,Var,Yok,Var,,Var,,337 g/km,14.5 lt,,9.8 lt,22.5 lt,75 lt,,4 adet,,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Bi-Xenon,Var
2016 Maserati GranCabrio Sport 4.7 V8 450 HP Otomatik,Benzin,,,,,,,,,1980 kg,,173 lt,2.0,35 %,245/35 R20,245 mm,20 inc,Alasimli,Elektronik Park Freni,Arkadan Itisli,Var,6 ileri,ZF6 (Otomatik),Otomatik,Var,Var,Yok,Var,,Var,,337 g/km,14.5 lt,,9.8 lt,22.5 lt,75 lt,,4 adet,,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Bi-Xenon,Var
2015 Porsche 911 Turbo Cabriolet 3.8 520 HP PDK (4x4),Benzin,,,,,,,,,1450 kg,,145 lt,2.0,35 %,245/35 R20,245 mm,20 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,PDK (Porsche Otm.),Otomatik,Var,Var,Var,,,Var,,227 g/km,9.7 lt,,7.7 lt,13.2 lt,64 lt,,4 adet,,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Bi-Xenon,Var
2016 Porsche 911 Turbo Cabriolet 3.8 540 HP PDK (4x4),Benzin,,,,,,,,,1740 kg,,115 lt,2.0,35 %,245/35 R20,245 mm,20 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,PDK (Porsche Otm.),Otomatik,Var,Var,Var,Var,,Var,,216 g/km,9.3 lt,,7.6 lt,12.1 lt,68 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,LED,Var
2016 Porsche 911 Turbo S Cabriolet 3.8 580 HP PDK (4x4),Benzin,,,,,,,,,1745 kg,,115 lt,2.0,35 %,245/35 R20,245 mm,20 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,PDK (Porsche Otm.),Otomatik,Var,Var,Var,Var,,Var,,216 g/km,9.3 lt,,7.6 lt,12.1 lt,68 lt,,6 adet,,Var,Var,Var,Var,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,LED,Var
2014 Porsche 911 Carrera 4 Cabriolet Otomatik (4x4),Benzin,,,,,,,,,1520 kg,,135 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,PDK (Porsche Otm.),Otomatik,Var,,Var,,,,,205 g/km,8.7 lt,,6.9 lt,11.9 lt,68 lt,,8 adet,,Yok,Yok,Var,Yok,Otomatik Klima,Kumas & Deri,4.0,Manuel,Elektrikli,Bi-Xenon,Var
2015 Porsche 911 Carrera 4 Cabriolet 3.5 350 HP (4x4),Benzin,,,,,,,,,1500 kg,,125 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,,Manuel,Var,,Var,,,,,223 g/km,9.5 lt,,7.5 lt,13.1 lt,68 lt,,8 adet,,Yok,Yok,Yok,Yok,Otomatik Klima,Kumas & Deri,4.0,,Elektrikli,Bi-Xenon,Var
2015 Porsche 911 Carrera 4 Cabriolet 3.5 350 HP Otomatik (4x4),Benzin,,,,,,,,,1520 kg,,125 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,PDK (Porsche Otm.),Otomatik,Var,,Var,,,,,202 g/km,8.7 lt,,6.9 lt,11.8 lt,68 lt,,8 adet,,Yok,Yok,Yok,Yok,Otomatik Klima,Kumas & Deri,4.0,,Elektrikli,Bi-Xenon,Var
2014 Porsche 911 Carrera 4 Cabriolet (4x4),Benzin,,,,,,,,,1500 kg,,135 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,,Manuel,Var,,Var,,,,,224 g/km,9.5 lt,,7.2 lt,13.5 lt,68 lt,,8 adet,,Yok,Yok,Var,Yok,Otomatik Klima,Kumas & Deri,4.0,Manuel,Elektrikli,Bi-Xenon,Var
2014 Porsche 911 Carrera 4S Cabriolet Otomatik (4x4),Benzin,,,,,,,,,1535 kg,,125 lt,2.0,35 %,245/35 R20,245 mm,20 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,PDK (Porsche Otm.),Otomatik,Var,,Var,,,,,217 g/km,9.2 lt,,7.1 lt,12.9 lt,68 lt,,8 adet,,Yok,Yok,Yok,Yok,Otomatik Klima,Kumas & Deri,4.0,Manuel,Elektrikli,Bi-Xenon,Var
2015 Porsche 911 Carrera 4S Cabriolet 3.8 400HP (4x4),Benzin,,,,,,,,,1500 kg,,125 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,,Manuel,Var,,Var,,,,,235 g/km,10.0 lt,,7.7 lt,13.9 lt,68 lt,,8 adet,,Yok,Yok,Yok,Yok,Otomatik Klima,Kumas & Deri,4.0,,Elektrikli,Bi-Xenon,Var
2015 Porsche 911 Carrera 4S Cabriolet 3.8 400HP Otomatik (4x4),Benzin,,,,,,,,,1500 kg,,125 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,PDK (Porsche Otm.),Otomatik,Var,,Var,,,,,214 g/km,9.2 lt,,7.1 lt,12.5 lt,68 lt,,8 adet,,Yok,Yok,Yok,Yok,Otomatik Klima,Kumas & Deri,4.0,,Elektrikli,Bi-Xenon,Var
2016 Porsche 911 Carrera 4S Cabriolet 3.0 420 PS (4x4),Benzin,,,,,,,,,1635 kg,125 lt,,2.0,35 %,245/35 R20,245 mm,20 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,,7 ileri,,Manuel,Var,Var,,,,,,208 g/km,9.0 lt,,6.8 lt,12.6 lt,67 lt,,6 adet,,Var,Var,,,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Bi-Xenon,
2016 Porsche 911 Carrera 4S Cabriolet 3.0 420 PS PDK (4x4),Benzin,,,,,,,,,1655 kg,125 lt,,2.0,35 %,245/35 R20,245 mm,20 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,,7 ileri,PDK (Porsche Otm.),Otomatik,Var,Var,,,,,,184 g/km,8.0 lt,,6.7 lt,10.4 lt,67 lt,,6 adet,,Var,Var,,,Otomatik Klima,Deri,4.0,Elektrikli,Elektrikli,Bi-Xenon,
2014 Porsche 911 Carrera 4S Cabriolet (4x4),Benzin,,,,,,,,,1515 kg,,125 lt,2.0,35 %,245/35 R20,245 mm,20 inc,Alasimli,Elektronik Park Freni,4x4 Cekisli,Var,7 ileri,,Manuel,Var,,Var,,,,,205 g/km,8.7 lt,,6.9 lt,11.9 lt,68 lt,,8 adet,,Yok,Yok,Yok,Yok,Otomatik Klima,Kumas & Deri,4.0,Manuel,Elektrikli,Bi-Xenon,Var
2014 Porsche 911 Carrera Cabriolet Otomatik,Benzin,,,,,,,,,1470 kg,,135 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,Arkadan Itisli,Var,7 ileri,PDK (Porsche Otm.),Otomatik,Var,,Var,,,,,198 g/km,8.4 lt,,6.7 lt,11.4 lt,64 lt,,8 adet,,Yok,Yok,Var,Yok,Otomatik Klima,Kumas & Deri,4.0,Manuel,Elektrikli,Bi-Xenon,Var
2014 Porsche 911 Carrera Cabriolet,Benzin,,,,,,,,,1450 kg,,135 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,Arkadan Itisli,Var,7 ileri,,Manuel,Var,,Var,,,,,217 g/km,9.2 lt,,7.0 lt,13.1 lt,64 lt,,8 adet,,Yok,Yok,Var,Yok,Otomatik Klima,Kumas & Deri,4.0,Manuel,Elektrikli,Bi-Xenon,Var
2015 Porsche 911 Carrera Cabriolet 3.5 350 HP Otomatik,Benzin,,,,,,,,,1470 kg,,145 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,Arkadan Itisli,Var,7 ileri,PDK (Porsche Otm.),Otomatik,Var,,Var,,,,,195 g/km,8.4 lt,,6.7 lt,11.5 lt,64 lt,,8 adet,,Yok,Yok,Var,Yok,Otomatik Klima,Kumas & Deri,4.0,Manuel,Elektrikli,Bi-Xenon,Var
2015 Porsche 911 Carrera Cabriolet 3.5 350 HP,Benzin,,,,,,,,,1450 kg,,145 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,Arkadan Itisli,Var,7 ileri,,Manuel,Var,,Var,,,,,216 g/km,9.2 lt,,7.2 lt,12.7 lt,64 lt,,8 adet,,Yok,Yok,Var,Yok,Otomatik Klima,Kumas & Deri,4.0,Manuel,Elektrikli,Bi-Xenon,Var
2016 Porsche 911 Carrera Cabriolet 3.0 370 HP PDK,Benzin,,,,,,,,,1520 kg,,145 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,Arkadan Itisli,Var,7 ileri,PDK (Porsche Otm.),Otomatik,Var,,Yok,,,,,172 g/km,7.5 lt,,6.2 lt,9.9 lt,64 lt,,6 adet,,Var,Var,Var,,Otomatik Klima,Kumas & Deri,4.0,Manuel,Elektrikli,Bi-Xenon,Var
2016 Porsche 911 Carrera Cabriolet 3.0 370 HP,Benzin,,,,,,,,,1500 kg,,145 lt,2.0,40 %,235/40 R19,235 mm,19 inc,Alasimli,Elektronik Park Freni,Arkadan Itisli,Var,7 ileri,,Manuel,Var,,Yok,,,,,195 g/km,8.5 lt,,6.5 lt,11.9 lt,64 lt,,6 adet,,Var,Var,Var,,Otomatik Klima,Kumas & Deri,4.0,Manuel,Elektrikli,Bi-Xenon,Var
