TEMEL BILGILER - Baslik,TEMEL BILGILER - Arac Turu,TEMEL BILGILER - Govde Tipi,TEMEL BILGILER - Segment,TEMEL BILGILER - Marka,TEMEL BILGILER - Seri,TEMEL BILGILER - Model,TEMEL BILGILER - Donanim Paketi,TEMEL BILGILER - Model Yili,TEMEL BILGILER - Uretim Ulkesi,MOTOR - Yakit Turu,MOTOR - Yakit Tipi,MOTOR - Motor Tipi,MOTOR (Fosil Yakit) - Besleme Tipi,MOTOR (Fosil Yakit) - Silindir Adedi,MOTOR (Fosil Yakit) - Silindir Hacmi,MOTOR (Fosil Yakit) - Yakit Puskurtme,MOTOR (Elektrik) - Motor Gucu,MOTOR (Elektrik) - Batarya Kapasitesi,MOTOR (Elektrik) - Batarya Tipi,SANZIMAN - Sanziman Turu,SANZIMAN - Sanziman Modeli,SANZIMAN - Vites Sayisi,PERFORMANS - PERFORMANS PUANI,PERFORMANS - Beygir Gucu,PERFORMANS - Azami Tork,PERFORMANS - Azami Hiz,PERFORMANS - 0-100 Km Hizlanma,CEKIS SISTEMI - Cekis Turu,CEKIS SISTEMI - Cekis Kontrol Sistemi,BOYUTLAR - KONFOR PUANI,BOYUTLAR - Ic Hacim,BOYUTLAR - Uzunluk,BOYUTLAR - Genislik,BOYUTLAR - Yukseklik,BOYUTLAR - Ağirlik,BOYUTLAR - Bagaj Hacmi (Standart),BOYUTLAR - Bagaj Hacmi (Genisletilmis),LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Jant Capi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Taban Genisliği,DIS DONANIM - Kapi Sayisi,DIS DONANIM- Far Tipi,DIS DONANIM- Sis Farlari,IC DONANIM - Koltuk Sayisi,IC DONANIM - Doseme Tipi,IC DONANIM - Surucu Koltuğu Ayarlari,IC DONANIM - On Yolcu Koltuğu Ayarlari,IC DONANIM - Klima,SENSORLER - Far Sensoru,SENSORLER - Yağmur Sensoru,SENSORLER - Lastik Basinc Sensoru,SENSORLER - Park Sensoru & Yardimcisi,GUVENLIK - GUVEN PUANI,GUVENLIK - Hava Yastiği Adedi,GUVENLIK - NCAP/ANCAP Puani,EKONOMI - EKO PUANI,EKONOMI - Tahmini Bakim Masrafi,EKONOMI - Yillik MTV Tutari,EKONOMI - Ortalama Yakit Tuketimi (100 km),EKONOMI - Sehir Ici Tuketim (100 km),EKONOMI - Sehir Disi Tuketim (100 km),EKONOMI (Fosil Yakit) - Yakit Kapasitesi (lt),EKONOMI (Elektrik) - Menzil (WLTP - Birlesik),EKONOMI (Elektrik) - Menzil (WLTP - Sehir Ici),EKONOMI (Elektrik) - Sarj Suresi,EMISYON - Emisyon Standardi,EMISYON - Ortalama Emisyon
Porsche 911 Carrera 4S Cabriolet 3.0 420 PS PDK (4x4),Binek,Cabrio,S,Porsche,911,911 Carrera 4S Cabriolet,Standart,2016,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Cift Turbo,6,2981,DFI (Dogrudan Yakit Enjeksiyonu),,,,Otomatik,PDK,7 ileri,68.0,420,440,301,4.2,4x4 Cekisli,Var,75.0,65.0,4499,1852,1293,1655,145,Koltuklar Katlanmıyor,245/35 R20,20,35%,245,3,LED,Var,4,Deri,Elektronik,Elektronik,Otomatik Klima,Var,Var,Var,Var,86.0,6,Test Edilmemiş,82.0,81.0,26.654,8.86,10.40,6.70,67,,,,EURO 6,184
Porsche 911 Carrera 4S 3.0 420 PS PDK (4x4),Binek,Coupe,S,Porsche,911,911 Carrera 4S,Standart,2016,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Cift Turbo,6,2981,DFI (Dogrudan Yakit Enjeksiyonu),,,,Otomatik,PDK,7 ileri,77.0,420,440,303,4.0,4x4 Cekisli,Var,75.0,71.0,4499,1852,1298,1510,145,Koltuklar Katlanmıyor,245/35 R20,20,35%,245,3,LED,Var,4,Deri,Elektronik,Elektronik,Otomatik Klima,Var,Var,Var,Var,63.0,6,Test Edilmemiş,75.0,75.0,26.654,8.81,10.40,6.60,67,,,,EURO 6,180
Porsche 911 Carrera 4S Cabriolet 3.0 420 PS (4x4),Binek,Cabrio,S,Porsche,911,911 Carrera 4S Cabriolet,Standart,2016,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Cift Turbo,6,2981,DFI (Dogrudan Yakit Enjeksiyonu),,,,Manuel,Manuel,7 ileri,67.0,420,440,303,4.4,4x4 Cekisli,Var,75.0,65.0,4499,1852,1293,1635,145,Koltuklar Katlanmıyor,245/35 R20,20,35%,245,3,LED,Var,4,Deri,Elektronik,Elektronik,Otomatik Klima,Var,Var,Var,Var,86.0,6,Test Edilmemiş,91.0,99.0,26.654,10.08,12.60,6.80,67,,,,EURO 6,208
Porsche 911 Carrera 4S 3.0 420 PS (4x4),Binek,Coupe,S,Porsche,911,911 Carrera 4S,Standart,2016,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Cift Turbo,6,2981,DFI (Dogrudan Yakit Enjeksiyonu),,,,Manuel,Manuel,7 ileri,76.0,420,440,305,4.2,4x4 Cekisli,Var,74.0,71.0,4499,1852,1298,1490,145,Koltuklar Katlanmıyor,245/35 R20,20,35%,245,3,LED,Var,4,Deri,Elektronik,Elektronik,Otomatik Klima,Var,Var,Var,Var,63.0,6,Test Edilmemiş,82.0,89.0,26.654,9.97,12.40,6.80,67,,,,EURO 6,204
Mazda MX-5 1.5 SKY-G 131 BG Motion,Binek,Roadster,S,Mazda,MX-5,Mx-5,Motion,2016,Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Turbo,4,1496,Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,50.0,131,150,204,8.3,Arkadan Itisli,Var,52.0,57.0,3915,1735,1225,1050,130,Koltuklar Katlanmıyor,195/50 R16,16,50%,195,3,LED,Var,2,Kumas,Manuel,Manuel,Manuel Klima,Yok,Yok,Var,Yok,56.0,4,4,96.0,100.0,3.661,6.64,7.90,4.90,45,,,,EURO 6,139
Mazda MX-5 1.5 SKY-G 131 BG Power,Binek,Roadster,S,Mazda,MX-5,Mx-5,Power,2016,Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Turbo,4,1496,Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,50.0,131,150,204,8.3,Arkadan Itisli,Var,52.0,57.0,3915,1735,1225,1050,130,Koltuklar Katlanmıyor,195/50 R16,16,50%,195,3,LED,Var,2,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,56.0,4,4,96.0,100.0,3.661,6.64,7.90,4.90,45,,,,EURO 6,139
Mazda MX-5 1.5 SKY-G 131 BG Power Sense,Binek,Roadster,S,Mazda,MX-5,Mx-5,Power Sense,2016,Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Turbo,4,1496,Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,50.0,131,150,204,8.3,Arkadan Itisli,Var,52.0,57.0,3915,1735,1225,1050,130,Koltuklar Katlanmıyor,195/50 R16,16,50%,195,3,LED,Var,2,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,56.0,4,4,96.0,100.0,3.661,6.64,7.90,4.90,45,,,,EURO 6,139
Mazda MX-5 2.0 SKY-G 160 BG Power Sense,Binek,Roadster,S,Mazda,MX-5,Mx-5,Power Sense,2016,Japonya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Turbo,4,1998,Direkt Enjeksiyon,,,,Manuel,Manuel,6 ileri,54.0,160,200,214,7.3,Arkadan Itisli,Var,56.0,57.0,3915,1735,1225,1090,130,Koltuklar Katlanmıyor,205/45 R17,17,45%,205,3,LED,Var,2,Deri,Manuel,Manuel,Otomatik Klima,Var,Var,Var,Var,56.0,4,4,92.0,98.0,10.613,7.31,8.70,5.40,45,,,,EURO 6,154
Porsche 911 Carrera 4 Cabriolet 3.5 350 HP Otomatik (4x4),Binek,Cabrio,S,Porsche,911,911 Carrera 4 Cabriolet,Standart,2015,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3436,Cok Noktadan Enjeksiyon,,,,Otomatik,PDK,7 ileri,57.0,350,390,280,4.9,4x4 Cekisli,Var,65.0,62.0,4491,1808,1303,1520,125,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,LED,Var,4,Kumas & Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Yok,Yok,92.0,8,Test Edilmemiş,82.0,82.0,40.486,9.70,11.80,6.90,68,,,,EURO 5,202
Porsche 911 Carrera 4 Cabriolet Otomatik (4x4),Binek,Cabrio,S,Porsche,911,911 Carrera 4 Cabriolet,Standart,2014,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3436,Cok Noktadan Enjeksiyon,,,,Otomatik,PDK,7 ileri,57.0,350,390,280,4.9,4x4 Cekisli,Var,66.0,65.0,4491,1852,1300,1520,135,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,Xenon,Var,4,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Yok,Yok,Yok,Var,92.0,8,Test Edilmemiş,82.0,82.0,40.486,9.76,11.90,6.90,68,,,,EURO 5,205
Porsche 911 Carrera 4S Cabriolet (4x4),Binek,Cabrio,S,Porsche,911,911 Carrera 4S Cabriolet 4X4,Standart,2014,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3800,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,7 ileri,60.0,400,440,280,4.9,4x4 Cekisli,Var,71.0,64.0,4491,1852,1294,1515,125,Koltuklar Katlanmıyor,245/35 R20,20,35%,245,3,Xenon,Var,4,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Yok,Yok,Yok,Yok,92.0,8,Test Edilmemiş,86.0,97.0,59.730,9.76,11.90,6.90,68,,,,EURO 5,205
Porsche 911 Carrera 4 (4x4),Binek,Coupe,S,Porsche,911,911 Carrera 4 4X4,Standart,2014,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3436,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,7 ileri,71.0,350,390,285,4.9,4x4 Cekisli,Var,70.0,71.0,4491,1852,1304,1430,135,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,Xenon,Var,4,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Yok,Yok,Yok,Yok,68.0,8,Test Edilmemiş,81.0,89.0,40.486,10.55,13.20,7.10,68,,,,EURO 5,219
Porsche 911 Carrera Cabriolet 3.0 370 HP PDK,Binek,Cabrio,S,Porsche,911,911 Carrera Cabriolet,Standart,2016,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Cift Turbo,6,2981,DFI (Dogrudan Yakit Enjeksiyonu),,,,Otomatik,PDK,7 ileri,61.0,370,450,290,4.6,Arkadan Itisli,Var,65.0,61.0,4499,1808,1289,1520,145,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,LED,Var,4,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,84.0,6,Test Edilmemiş,85.0,83.0,26.654,8.35,9.90,6.20,64,,,,EURO 6,172
Porsche 911 Carrera 4S Cabriolet Otomatik (4x4),Binek,Cabrio,S,Porsche,911,911 Carrera 4S Cabriolet,Standart,2014,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3800,Cok Noktadan Enjeksiyon,,,,Otomatik,PDK,7 ileri,63.0,400,440,294,4.5,4x4 Cekisli,Var,71.0,64.0,4491,1852,1294,1535,125,Koltuklar Katlanmıyor,245/35 R20,20,35%,245,3,Xenon,Var,4,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Yok,Yok,Yok,Yok,92.0,8,Test Edilmemiş,76.0,79.0,59.730,10.39,12.90,7.10,68,,,,EURO 5,217
Porsche 911 Carrera S Otomatik,Binek,Coupe,S,Porsche,911,911 Carrera S,Standart,2014,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3800,Cok Noktadan Enjeksiyon,,,,Otomatik,PDK,7 ileri,75.0,400,440,302,4.3,Arkadan Itisli,Var,72.0,69.0,4491,1808,1303,1415,135,Koltuklar Katlanmıyor,245/35 R20,20,35%,245,3,Xenon,Var,4,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Yok,Yok,Yok,Yok,68.0,8,Test Edilmemiş,71.0,73.0,59.730,9.82,12.20,6.70,64,,,,EURO 5,205
Lamborghini Aventador LP 700-4 6.5L V12 700 HP (4x4),Binek,Coupe,S,Lamborghini,Aventador,Aventador Lp 700-4 6.5L V12,Standart,2016,Italya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,12,6498,Cok Noktadan Enjeksiyon,,,,Otomatik,LDF (Lamborghini Otm.),7 ileri,91.0,700,690,350,2.9,4x4 Cekisli,Var,75.0,77.0,4780,2030,1136,1575,140,Koltuklar Katlanmıyor,255/35 R19,19,35%,255,3,LED,Var,2,Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Var,Yok,64.0,6,Test Edilmemiş,52.0,51.0,85.377,18.44,24.70,10.70,90,,,,EURO 6,370
Lamborghini Aventador LP 750-4 Superveloce 6.5L V12 750 HP (4x4),Binek,Coupe,S,Lamborghini,Aventador,Aventador Lp 750-4 Superveloce 6.5L V12,Standart,2016,Italya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,12,6498,Cok Noktadan Enjeksiyon,,,,Otomatik,LDF (Lamborghini Otm.),7 ileri,92.0,750,690,350,2.8,4x4 Cekisli,Var,77.0,78.0,4835,2030,1136,1525,140,Koltuklar Katlanmıyor,255/30 R20,20,30%,255,3,LED,Var,2,Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Var,Yok,59.0,4,Test Edilmemiş,50.0,50.0,85.377,18.44,24.70,10.70,90,,,,EURO 6,370
Porsche 911 Carrera 3.5 350 HP Otomatik,Binek,Coupe,S,Porsche,911,911 Carrera,Standart,2015,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3436,Cok Noktadan Enjeksiyon,,,,Otomatik,PDK,7 ileri,72.0,350,390,287,4.6,Arkadan Itisli,Var,69.0,69.0,4491,1808,1303,1400,145,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,LED,Var,4,Kumas & Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Yok,Yok,68.0,8,Test Edilmemiş,75.0,75.0,40.486,9.29,11.30,6.60,64,,,,EURO 5,191
Porsche 911 Carrera 3.5 350 HP,Binek,Coupe,S,Porsche,911,911 Carrera,Standart,2015,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3436,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,7 ileri,71.0,350,390,289,4.8,Arkadan Itisli,Var,69.0,69.0,4491,1808,1303,1380,145,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,LED,Var,4,Kumas & Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Yok,Yok,68.0,8,Test Edilmemiş,82.0,89.0,40.486,10.07,12.40,7.00,64,,,,EURO 5,211
Porsche 911 Carrera,Binek,Coupe,S,Porsche,911,911 Carrera,Standart,2014,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3436,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,7 ileri,71.0,350,390,289,4.8,Arkadan Itisli,Var,69.0,69.0,4491,1808,1303,1380,135,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,Xenon,Var,4,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Yok,Yok,Yok,Yok,68.0,8,Test Edilmemiş,82.0,89.0,40.486,10.18,12.80,6.80,64,,,,EURO 5,212
Porsche 911 Carrera 3.0 370 HP,Binek,Coupe,S,Porsche,911,911 Carrera,Standart,2016,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Cift Turbo,6,2981,DFI (Dogrudan Yakit Enjeksiyonu),,,,Manuel,Manuel,7 ileri,74.0,370,450,295,4.6,Arkadan Itisli,Var,70.0,69.0,4499,1808,1294,1430,145,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,LED,Var,4,Kumas & Deri,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,63.0,6,Test Edilmemiş,84.0,90.0,26.654,9.35,11.70,6.30,64,,,,EURO 6,190
Porsche 911 Carrera S 3.8 400 HP Otomatik,Binek,Coupe,S,Porsche,911,911 Carrera S,Standart,2015,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3800,Cok Noktadan Enjeksiyon,,,,Otomatik,PDK,7 ileri,75.0,400,440,302,4.3,Arkadan Itisli,Var,69.0,69.0,4491,1808,1303,1415,145,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,LED,Var,4,Kumas & Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Yok,Yok,68.0,8,Test Edilmemiş,72.0,73.0,59.730,9.76,12.10,6.70,64,,,,EURO 5,202
Porsche 911 Carrera S 3.8 400 HP,Binek,Coupe,S,Porsche,911,911 Carrera S,Standart,2015,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3800,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,7 ileri,75.0,400,440,304,4.5,Arkadan Itisli,Var,69.0,69.0,4491,1808,1303,1395,145,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,LED,Var,4,Kumas & Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Yok,Yok,68.0,8,Test Edilmemiş,79.0,87.0,59.730,10.70,13.30,7.30,64,,,,EURO 5,223
