BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari
Peugeot 208 1.4 HDi 68 HP Access;Peugeot;208;208;Access;2015, 2016;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Dizel;Turbo;4;1397;Common Rail Direkt Enjeksiyon;;;;;;;;3661;163;160;68;13,5;1050;1829;3962;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;98;4,03;3,4;4,4;50;2;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.4 HDi 68 HP Active;Peugeot;208;208;Active;2015, 2016;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Dizel;Turbo;4;1397;Common Rail Direkt Enjeksiyon;;;;;;;;3661;163;160;68;13,5;1050;1829;3962;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;98;4,03;3,4;4,4;50;4;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.4 HDi 68 HP ESP Active;Peugeot;208;208;Active;2015;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Dizel;Turbo;4;1397;Common Rail Direkt Enjeksiyon;;;;;;;;3661;163;160;68;13,5;1050;1829;3962;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;98;4,03;3,4;4,4;50;4;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.6 HDi 92 HP ETG6 Active;Peugeot;208;208;Active;2015;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;183;230;92;11,8;1090;1829;3962;1460;286;1076;5;195/55 R16;195;55%;16;Onden Cekisli;Yok;Otomatik;6 ileri;ETG6 (YO);EURO 5;98;4,03;3,5;4,3;50;4;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.2 PureTech 110 HP S&S EAT6 Active;Peugeot;208;208;Active;2016, 2017, 2018;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Endirekt Puskurtme;;;;;;;;1882;190;205;110;9,8;1090;1829;3973;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Otomatik;6 ileri;EAT6;EURO 6;104;4,92;3,8;5,7;50;4;5;Var;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var
Peugeot 208 1.2 PureTech 82 HP S&S ETG5 Access;Peugeot;208;208;Access;2016, 2017, 2018;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Endirekt Puskurtme;;;;;;;;1882;178;118;82;14,5;980;1829;3973;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Otomatik;5 ileri;ETG5 (YO);EURO 6;97;4,39;3,9;4,6;50;2;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.2 PureTech 82 HP S&S ETG5 Active;Peugeot;208;208;Active;2016, 2017, 2018;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Endirekt Puskurtme;;;;;;;;1882;178;118;82;14,5;980;1829;3973;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Otomatik;5 ileri;ETG5 (YO);EURO 6;97;4,39;3,9;4,6;50;4;5;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var
Peugeot 208 1.6 e-HDi 92 HP S&S ETG6 Active;Peugeot;208;208;Active;2016;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;183;230;92;11,8;1090;1829;3973;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Otomatik;6 ileri;ETG6 (YO);EURO 6;98;4,03;3,5;4,3;50;4;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.6 HDi 92 HP Access;Peugeot;208;208;Access;2016, 2017, 2018;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;185;230;92;10,9;1075;1829;3973;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;101;4,19;3,5;4,6;50;2;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.6 HDi 92 HP Active;Peugeot;208;208;Active;2016, 2017, 2018;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;185;230;92;10,9;1075;1829;3973;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;101;4,19;3,5;4,6;50;4;5;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var
Peugeot 208 1.2 PureTech 82 HP S&S Active;Peugeot;208;208;Active;2017, 2018;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Endirekt Puskurtme;;;;;;;;1882;175;118;82;12,2;975;1829;3973;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;104;4,87;3,9;5,5;50;4;5;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var
Peugeot 208 1.6 BlueHdi 100 HP S&S ETG6 Active;Peugeot;208;208;Active;2017, 2018;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;187;254;100;12,4;1110;1829;3973;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Otomatik;6 ileri;ETG6 (YO);EURO 6;91;3,77;3,2;4,1;50;4;5;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var
Peugeot 208 1.6 BlueHDi 100 HP Active;Peugeot;208;208;Active;2018;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;187;254;100;10,7;1075;1829;3973;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;90;3,73;3;4,2;50;4;5;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var
Peugeot 301 1.2 PureTech 72 HP Access;Peugeot;301;301;Access;2015;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;160;110;72;14,2;980;1785;4442;1466;506;640;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;124;5,86;4,3;7;50;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 301 1.2 PureTech 72 HP Active;Peugeot;301;301;Active;2015;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;160;110;72;14,2;980;1785;4442;1466;506;640;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;124;5,86;4,3;7;50;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 301 1.2 PureTech 82 HP Access;Peugeot;301;301;Access;2015, 2016, 2017, 2018;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;169;117;82;12,9;980;1785;4442;1466;506;640;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;114;5,33;4,3;6;50;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 301 1.2 PureTech 82 HP Active;Peugeot;301;301;Active;2015, 2016, 2017, 2018, 2019;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;169;117;82;12,9;980;1785;4442;1466;506;640;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;114;5,33;4,3;6;50;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 301 1.6 HDi 92 HP Active;Peugeot;301;301;Active;2015, 2016, 2017, 2018;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;180;230;92;11,2;1090;1953;4442;1466;506;640;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;112;4,55;3,9;4,9;50;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 301 1.6 HDi 92HP Access;Peugeot;301;301;Access;2015;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;180;230;92;11,2;1090;1785;4442;1466;506;640;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;112;4,55;3,9;4,9;50;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 301 1.6 VTi 115 HP Active;Peugeot;301;301;Active;2015;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Benzin;Atmosferik;4;1587;Cok Noktadan Enjeksiyon;;;;;;;;3661;188;150;115;9,4;980;1953;4442;1466;506;640;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;124;5,86;4,3;7;50;2;3;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 301 1.6 HDi 92 HP Access;Peugeot;301;301;Access;2016, 2017, 2018;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;180;230;92;11,2;1090;1785;4442;1466;506;640;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;112;4,55;3,9;4,9;50;2;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 301 1.6 BlueHDi 100 HP Access;Peugeot;301;301;Access;2018;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;183;254;100;10,8;1090;1748;4445;1466;506;640;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;101;4,14;3,4;4,6;50;2;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 301 1.6 BlueHDi 100 HP Active;Peugeot;301;301;Active;2018;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;183;254;100;10,8;1090;1748;4445;1466;506;640;5;185/65 R15;185;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6;101;4,14;3,4;4,6;50;2;3;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 301 1.5 BlueHDi 100 HP Active;Peugeot;301;301;Active;2019, 2020, 2021;Fransa;Fosil Yakıt;Binek;Sedan;B;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;;;;;;;;6314;190;250;100;10,1;1090;1748;4445;1466;506;640;5;195/55 R16;195;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;104;4,24;3,4;4,8;50;4;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 308 1.2 PureTech 82 HP Access;Peugeot;308;308;Access;2014, 2015, 2016, 2017;Fransa;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Common Rail Direkt Enjeksiyon;;;;;;;;1882;172;118;82;13,3;1075;1804;4253;1457;428;1228;5;195/65 R15;195;65%;15;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;114;5,44;4,2;6,3;53;6;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Peugeot 308 1.6 HDi 92 HP Access;Peugeot;308;308;Access;2014, 2015, 2016, 2017;Fransa;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;;;;;;;;3661;183;230;92;11,3;1090;1804;4253;1457;428;1228;5;195/65 R15;195;65%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;95;4,03;3,4;4,4;53;6;5;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Var
Peugeot 308 1.2 PureTech 130 HP Active;Peugeot;308;308;Active;2015, 2016, 2017;Fransa;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;207;230;130;9,6;1090;1804;4253;1457;428;1228;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 5;107;5,02;3,9;5,8;53;6;5;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; LED; Var
Peugeot 308 1.2 PureTech 130 HP EAT6 Active;Peugeot;308;308;Active;2015, 2016, 2017;Fransa;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;206;230;130;9,1;1150;1804;4253;1457;428;1228;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;6 ileri;EAT6;EURO 5;114;5,39;4,1;6,3;53;6;5;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; LED; Var
Peugeot 308 1.2 PureTech 82 HP Active;Peugeot;308;308;Active;2015, 2016, 2017;Fransa;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;172;118;82;13,3;1075;1804;4253;1457;428;1228;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 5;115;5,49;4,2;6,4;53;6;5;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Var
