BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;EKONOMI - Bakim Masrafi (Tahmini);PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari;Performance_Score;Ic_Hacim_Score;Konfor_Score;Guvenlik_Score;Eko_Score;Maintenance_Score;GLOBAL_SCORE
Porsche 911 Carrera 4S Cabriolet 3.0 420 PS PDK (4x4);Porsche;911 Carrera 4S Cabriolet;911;Standart;2016;Almanya;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);nan;nan;nan;nan;nan;nan;nan;26.654;nan;301;440;420;4.2;1655;1852;4499;1293;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 6;184;8.86;6.70;10.40;67;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik;LED;Var;290;4339;1376;384;34;-9;1033
Porsche 911 Carrera 4S 3.0 420 PS PDK (4x4);Porsche;911 Carrera 4S;911;Standart;2016;Almanya;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);nan;nan;nan;nan;nan;nan;nan;26.654;nan;303;440;420;4.0;1510;1852;4499;1298;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 6;180;8.81;6.60;10.40;67;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik;LED;Var;295;4356;1381;386;34;-9;1039
Porsche 911 Carrera 4S Cabriolet 3.0 420 PS (4x4);Porsche;911 Carrera 4S Cabriolet;911;Standart;2016;Almanya;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);nan;nan;nan;nan;nan;nan;nan;26.654;nan;303;440;420;4.4;1635;1852;4499;1293;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 6;208;10.08;6.80;12.60;67;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik;LED;Var;291;4339;1376;384;32;-9;1033
Porsche 911 Carrera 4S 3.0 420 PS (4x4);Porsche;911 Carrera 4S;911;Standart;2016;Almanya;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);nan;nan;nan;nan;nan;nan;nan;26.654;nan;305;440;420;4.2;1490;1852;4499;1298;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 6;204;9.97;6.80;12.40;67;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik;LED;Var;296;4356;1381;387;32;-9;1039
Mazda MX-5 1.5 SKY-G 131 BG Motion;Mazda;Mx-5;MX-5;Motion;2016;Japonya;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Turbo;4;1496;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;204;150;131;8.3;1050;1735;3915;1225;130;Koltuklar Katlanmıyor;3;195/50 R16;195;50%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;139;6.64;4.90;7.90;45;4;4;Yok;Var;Yok;Yok;Manuel Klima;Kumas;2;Manuel;Manuel;LED;Var;112;3358;1044;343;68;78;796
Mazda MX-5 1.5 SKY-G 131 BG Power;Mazda;Mx-5;MX-5;Power;2016;Japonya;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Turbo;4;1496;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;204;150;131;8.3;1050;1735;3915;1225;130;Koltuklar Katlanmıyor;3;195/50 R16;195;50%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;139;6.64;4.90;7.90;45;4;4;Var;Var;Var;Var;Otomatik Klima;Deri;2;Manuel;Manuel;LED;Var;112;3358;1070;343;68;78;796
Mazda MX-5 1.5 SKY-G 131 BG Power Sense;Mazda;Mx-5;MX-5;Power Sense;2016;Japonya;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Turbo;4;1496;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;204;150;131;8.3;1050;1735;3915;1225;130;Koltuklar Katlanmıyor;3;195/50 R16;195;50%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;139;6.64;4.90;7.90;45;4;4;Var;Var;Var;Var;Otomatik Klima;Deri;2;Manuel;Manuel;LED;Var;112;3358;1070;343;68;78;796
Mazda MX-5 2.0 SKY-G 160 BG Power Sense;Mazda;Mx-5;MX-5;Power Sense;2016;Japonya;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Turbo;4;1998;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;214;200;160;7.3;1090;1735;3915;1225;130;Koltuklar Katlanmıyor;3;205/45 R17;205;45%;17;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;154;7.31;5.40;8.70;45;4;4;Var;Var;Var;Var;Otomatik Klima;Deri;2;Manuel;Manuel;LED;Var;137;3358;1071;343;63;68;801
Porsche 911 Carrera 4 Cabriolet 3.5 350 HP Otomatik (4x4);Porsche;911 Carrera 4 Cabriolet;911;Standart;2015;Almanya;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;40.486;nan;280;390;350;4.9;1520;1808;4491;1303;125;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 5;202;9.70;6.90;11.80;68;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik;LED;Var;253;4262;1352;395;36;7;1012
Porsche 911 Carrera 4 Cabriolet Otomatik (4x4);Porsche;911 Carrera 4 Cabriolet;911;Standart;2014;Almanya;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;40.486;nan;280;390;350;4.9;1520;1852;4491;1300;135;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 5;205;9.76;6.90;11.90;68;8;Test Edilmemiş;Yok;Yok;Var;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel;Xenon;Var;253;4355;1380;402;35;7;1032
Porsche 911 Carrera 4S Cabriolet (4x4);Porsche;911 Carrera 4S Cabriolet 4X4;911;Standart;2014;Almanya;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;59.730;nan;280;440;400;4.9;1515;1852;4491;1294;125;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 5;205;9.76;6.90;11.90;68;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel;Xenon;Var;271;4335;1375;401;28;-9;1030
Porsche 911 Carrera 4 (4x4);Porsche;911 Carrera 4 4X4;911;Standart;2014;Almanya;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;40.486;nan;285;390;350;4.9;1430;1852;4491;1304;135;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 5;219;10.55;7.10;13.20;68;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel;Xenon;Var;257;4368;1384;404;34;7;1036
Porsche 911 Carrera Cabriolet 3.0 370 HP PDK;Porsche;911 Carrera Cabriolet;911;Standart;2016;Almanya;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);nan;nan;nan;nan;nan;nan;nan;26.654;nan;290;450;370;4.6;1520;1808;4499;1289;145;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Otomatik;7 ileri;PDK;EURO 6;172;8.35;6.20;9.90;64;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel;LED;Var;272;4224;1341;376;39;4;1006
Porsche 911 Carrera 4S Cabriolet Otomatik (4x4);Porsche;911 Carrera 4S Cabriolet;911;Standart;2014;Almanya;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;59.730;nan;294;440;400;4.5;1535;1852;4491;1294;125;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 5;217;10.39;7.10;12.90;68;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel;Xenon;Var;282;4335;1375;400;27;-9;1032
Porsche 911 Carrera S Otomatik;Porsche;911 Carrera S;911;Standart;2014;Almanya;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;59.730;nan;302;440;400;4.3;1415;1808;4491;1303;135;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;Arkadan Itisli;Var;Otomatik;7 ileri;PDK;EURO 5;205;9.82;6.70;12.20;64;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel;Xenon;Var;290;4262;1353;396;28;-9;1020
Lamborghini Aventador LP 700-4 6.5L V12 700 HP (4x4);Lamborghini;Aventador Lp 700-4 6.5L V12;Aventador;Standart;2016;Italya;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;12;6498;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;85.377;nan;350;690;700;2.9;1575;2030;4780;1136;140;Koltuklar Katlanmıyor;3;255/35 R19;255;35%;19;4x4 Cekisli;Var;Otomatik;7 ileri;LDF (Lamborghini Otm.);EURO 6;370;18.44;10.70;24.70;90;6;Test Edilmemiş;Yok;Var;Yok;Yok;Otomatik Klima;Deri;2;Elektronik;Elektronik;LED;Var;429;4439;1401;392;-22;-110;1071
Lamborghini Aventador LP 750-4 Superveloce 6.5L V12 750 HP (4x4);Lamborghini;Aventador Lp 750-4 Superveloce 6.5L V12;Aventador;Standart;2016;Italya;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;12;6498;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;85.377;nan;350;690;750;2.8;1525;2030;4835;1136;140;Koltuklar Katlanmıyor;3;255/30 R20;255;30%;20;4x4 Cekisli;Var;Otomatik;7 ileri;LDF (Lamborghini Otm.);EURO 6;370;18.44;10.70;24.70;90;4;Test Edilmemiş;Yok;Var;Yok;Yok;Otomatik Klima;Deri;2;Elektronik;Elektronik;LED;Var;443;4490;1417;381;-25;-123;1080
Porsche 911 Carrera 3.5 350 HP Otomatik;Porsche;911 Carrera;911;Standart;2015;Almanya;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;40.486;nan;287;390;350;4.6;1400;1808;4491;1303;145;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Otomatik;7 ileri;PDK;EURO 5;191;9.29;6.60;11.30;64;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik;LED;Var;261;4262;1352;396;36;7;1015
Porsche 911 Carrera 3.5 350 HP;Porsche;911 Carrera;911;Standart;2015;Almanya;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;40.486;nan;289;390;350;4.8;1380;1808;4491;1303;145;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Manuel;7 ileri;Manuel;EURO 5;211;10.07;7.00;12.40;64;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik;LED;Var;261;4262;1352;396;35;7;1015
Porsche 911 Carrera;Porsche;911 Carrera;911;Standart;2014;Almanya;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;40.486;nan;289;390;350;4.8;1380;1808;4491;1303;135;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Manuel;7 ileri;Manuel;EURO 5;212;10.18;6.80;12.80;64;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel;Xenon;Var;261;4262;1352;396;35;7;1015
