AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Diğer Özellikler,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Garantisi,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (Elektrikli) - Menzil (WLTP-Şehir İçi),MOTOR (Elektrikli) - Motor Gücü,MOTOR (Elektrikli) - Ortalama Tüketim (Elk.),MOTOR (Elektrikli) - Şarj Süresi,MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Engelli Bireyler İçin ÖTV Muafiyeti,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon (WLTP),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km/WLTP),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1602 kg,12.20 mt.,1882 mm,4697 mm,1681 mm,,2065 lt,835 lt,,2022 Skoda Kodiaq 1.5 TSI 150 PS DSG Sportline (4x2),,2022 Skoda Kodiaq 1.5 TSI 150 PS DSG Sportline (4x2) Test Sürüşü Talep Sayfası,2022 Skoda Kodiaq 1.5 TSI 150 PS DSG Sportline (4x2) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,,,,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.7 saniye,205 km/s,250 nm,150 BG,Çek Cumhuriyeti > Almanya,,Binek,Sportline,,SUV,2022,İçten Yanmalı (Standart),2746 tl/yıl,D,Kodiaq,Benzin,https://www.epey.com/araba/2022-skoda-kodiaq-1-5-tsi-150-ps-dsg-sportline-4x2.html,,,,,,,135 g/km,,5.9 lt,,58 lt,,5.2 lt,7.2 lt,5 yıldız,2022 Skoda Kodiaq 1.5 TSI 150 PS DSG Sportline (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1843 kg,12.20 mt.,1882 mm,4697 mm,1681 mm,,2065 lt,835 lt,,2022 Skoda Kodiaq 2.0 TDI SCR 200 PS DSG L&K Crystal (4x4),,2022 Skoda Kodiaq 2.0 TDI SCR 200 PS DSG L&K Crystal (4x4) Test Sürüşü Talep Sayfası,2022 Skoda Kodiaq 2.0 TDI SCR 200 PS DSG L&K Crystal (4x4) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,,,,,,,,Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,7.7 saniye,218 km/s,400 nm,200 BG,Çek Cumhuriyeti > Almanya,,Binek,L&K Crystal,,SUV,2022,İçten Yanmalı (Standart),7641 tl/yıl,D,Kodiaq,Dizel,https://www.epey.com/araba/2022-skoda-kodiaq-2-0-tdi-scr-200-ps-dsg-lk-crystal-4x4.html,,,,,,,143 g/km,,5.4 lt,,58 lt,,4.8 lt,6.5 lt,5 yıldız,2022 Skoda Kodiaq 2.0 TDI SCR 200 PS DSG L&K Crystal (4x4) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,4x4 Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1833 kg,12.20 mt.,1882 mm,4697 mm,1681 mm,,2065 lt,835 lt,,2022 Skoda Kodiaq 2.0 TSI 245 PS DSG RS (4x4),,2022 Skoda Kodiaq 2.0 TSI 245 PS DSG RS (4x4) Test Sürüşü Talep Sayfası,2022 Skoda Kodiaq 2.0 TSI 245 PS DSG RS (4x4) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,,,,,,,,Turbo,,4,1984 cc,Direkt Enjeksiyon,6.5 saniye,234 km/s,370 nm,245 BG,Çek Cumhuriyeti > Almanya,,Binek,RS,,SUV,2022,İçten Yanmalı (Standart),7641 tl/yıl,D,Kodiaq,Benzin,https://www.epey.com/araba/2022-skoda-kodiaq-2-0-tsi-245-ps-dsg-rs-4x4.html,,,,,,,170 g/km,,7.4 lt,,58 lt,,6.2 lt,9.5 lt,5 yıldız,2022 Skoda Kodiaq 2.0 TSI 245 PS DSG RS (4x4) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,4x4 Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1341 kg,10.40 mt.,1829 mm,4689 mm,1486 mm,,1555 lt,600 lt,,2022 Skoda Octavia 1.0 TSI E-Tec 110 PS DSG Elite,,2022 Skoda Octavia 1.0 TSI E-Tec 110 PS DSG Elite Test Sürüşü Talep Sayfası,2022 Skoda Octavia 1.0 TSI E-Tec 110 PS DSG Elite Ürün Kataloğu,,,,,,,Lityum İyon,48 V Elektrik Motoru,,,,,,,Turbo,,3,999 cc,,10.5 saniye,208 km/s,200 nm,110 BG,Çek Cumhuriyeti > Almanya,,Binek,Elite,,Sedan,2022,MHEV (Yarı Hibrit Sistem),1576 tl/yıl,C,Octavia,Benzin & Elektrik,https://www.epey.com/araba/2022-skoda-octavia-1-0-tsi-e-tec-110-ps-dsg-elite.html,,,,,,,98 g/km,,4.3 lt,,47.8 lt,,3.8 lt,5.1 lt,5 yıldız,2022 Skoda Octavia 1.0 TSI E-Tec 110 PS DSG Elite NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1341 kg,10.40 mt.,1829 mm,4689 mm,1486 mm,,1555 lt,600 lt,,2022 Skoda Octavia 1.0 TSI E-Tec 110 PS DSG Premium,,2022 Skoda Octavia 1.0 TSI E-Tec 110 PS DSG Premium Test Sürüşü Talep Sayfası,2022 Skoda Octavia 1.0 TSI E-Tec 110 PS DSG Premium Ürün Kataloğu,,,,,,,Lityum İyon,48 V Elektrik Motoru,,,,,,,Turbo,,3,999 cc,,10.5 saniye,208 km/s,200 nm,110 BG,Çek Cumhuriyeti > Almanya,,Binek,Premium,,Sedan,2022,MHEV (Yarı Hibrit Sistem),1576 tl/yıl,C,Octavia,Benzin & Elektrik,https://www.epey.com/araba/2022-skoda-octavia-1-0-tsi-e-tec-110-ps-dsg-premium.html,,,,,,,98 g/km,,4.3 lt,,47.8 lt,,3.8 lt,5.1 lt,5 yıldız,2022 Skoda Octavia 1.0 TSI E-Tec 110 PS DSG Premium NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1371 kg,10.40 mt.,1829 mm,4689 mm,1486 mm,,1555 lt,600 lt,,2022 Skoda Octavia 1.5 TSI E-Tec 150 PS ACT DSG Elite,,2022 Skoda Octavia 1.5 TSI E-Tec 150 PS ACT DSG Elite Test Sürüşü Talep Sayfası,2022 Skoda Octavia 1.5 TSI E-Tec 150 PS ACT DSG Elite Ürün Kataloğu,,,,,,,Lityum İyon,48 V Elektrik Motoru,,,,,,,Turbo,,4,1498 cc,,8.5 saniye,230 km/s,250 nm,150 BG,Çek Cumhuriyeti > Almanya,,Binek,Elite,,Sedan,2022,MHEV (Yarı Hibrit Sistem),2746 tl/yıl,C,Octavia,Benzin & Elektrik,https://www.epey.com/araba/2022-skoda-octavia-1-5-tsi-e-tec-150-ps-act-dsg-elite.html,,,,,,,107 g/km,,4.7 lt,,47.8 lt,,4.0 lt,5.9 lt,5 yıldız,2022 Skoda Octavia 1.5 TSI E-Tec 150 PS ACT DSG Elite NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1371 kg,10.40 mt.,1829 mm,4689 mm,1486 mm,,1555 lt,600 lt,,2022 Skoda Octavia 1.5 TSI E-Tec 150 PS ACT DSG Premium,,2022 Skoda Octavia 1.5 TSI E-Tec 150 PS ACT DSG Premium Test Sürüşü Talep Sayfası,2022 Skoda Octavia 1.5 TSI E-Tec 150 PS ACT DSG Premium Ürün Kataloğu,,,,,,,Lityum İyon,48 V Elektrik Motoru,,,,,,,Turbo,,4,1498 cc,,8.5 saniye,230 km/s,250 nm,150 BG,Çek Cumhuriyeti > Almanya,,Binek,Premium,,Sedan,2022,MHEV (Yarı Hibrit Sistem),2746 tl/yıl,C,Octavia,Benzin & Elektrik,https://www.epey.com/araba/2022-skoda-octavia-1-5-tsi-e-tec-150-ps-act-dsg-premium.html,,,,,,,107 g/km,,4.7 lt,,47.8 lt,,4.0 lt,5.9 lt,5 yıldız,2022 Skoda Octavia 1.5 TSI E-Tec 150 PS ACT DSG Premium NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1470 kg,11.70 mt.,1864 mm,4869 mm,1503 mm,,1730 lt,595 lt,,2022 Skoda Superb 1.5 TSI 150 HP DSG Elite,,2022 Skoda Superb 1.5 TSI 150 HP DSG Elite Test Sürüşü Talep Sayfası,2022 Skoda Superb 1.5 TSI 150 HP DSG Elite Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,,,,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.2 saniye,219 km/s,250 nm,150 BG,Çek Cumhuriyeti > Almanya,,Binek,Elite,,Sedan,2022,İçten Yanmalı (Standart),2746 tl/yıl,D,Superb,Benzin,https://www.epey.com/araba/2022-skoda-superb-1-5-tsi-150-hp-dsg-elite.html,,,,,,,123 g/km,,5.4 lt,,66 lt,Euro 6,4.6 lt,6.8 lt,5 yıldız,2022 Skoda Superb 1.5 TSI 150 HP DSG Elite NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1470 kg,11.70 mt.,1864 mm,4869 mm,1503 mm,,1730 lt,595 lt,,2022 Skoda Superb 1.5 TSI 150 HP DSG L&K Crystal,,2022 Skoda Superb 1.5 TSI 150 HP DSG L&K Crystal Test Sürüşü Talep Sayfası,2022 Skoda Superb 1.5 TSI 150 HP DSG L&K Crystal Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,,,,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.2 saniye,219 km/s,250 nm,150 BG,Çek Cumhuriyeti > Almanya,,Binek,L&K Crystal,,Sedan,2022,İçten Yanmalı (Standart),2746 tl/yıl,D,Superb,Benzin,https://www.epey.com/araba/2022-skoda-superb-1-5-tsi-150-hp-dsg-lk-crystal.html,,,,,,,123 g/km,,5.4 lt,,66 lt,Euro 6,4.6 lt,6.8 lt,5 yıldız,2022 Skoda Superb 1.5 TSI 150 HP DSG L&K Crystal NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1470 kg,11.70 mt.,1864 mm,4869 mm,1503 mm,,1730 lt,595 lt,,2022 Skoda Superb 1.5 TSI 150 HP DSG Premium,,2022 Skoda Superb 1.5 TSI 150 HP DSG Premium Test Sürüşü Talep Sayfası,2022 Skoda Superb 1.5 TSI 150 HP DSG Premium Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,,,,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.2 saniye,219 km/s,250 nm,150 BG,Çek Cumhuriyeti > Almanya,,Binek,Premium,,Sedan,2022,İçten Yanmalı (Standart),2746 tl/yıl,D,Superb,Benzin,https://www.epey.com/araba/2022-skoda-superb-1-5-tsi-150-hp-dsg-premium.html,,,,,,,123 g/km,,5.4 lt,,66 lt,Euro 6,4.6 lt,6.8 lt,5 yıldız,2022 Skoda Superb 1.5 TSI 150 HP DSG Premium NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1470 kg,11.70 mt.,1864 mm,4869 mm,1503 mm,,1730 lt,595 lt,,2022 Skoda Superb 1.5 TSI 150 HP DSG Prestige,,2022 Skoda Superb 1.5 TSI 150 HP DSG Prestige Test Sürüşü Talep Sayfası,2022 Skoda Superb 1.5 TSI 150 HP DSG Prestige Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,,,,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.2 saniye,219 km/s,250 nm,150 BG,Çek Cumhuriyeti > Almanya,,Binek,Prestige,,Sedan,2022,İçten Yanmalı (Standart),2746 tl/yıl,D,Superb,Benzin,https://www.epey.com/araba/2022-skoda-superb-1-5-tsi-150-hp-dsg-prestige.html,,,,,,,123 g/km,,5.4 lt,,66 lt,Euro 6,4.6 lt,6.8 lt,5 yıldız,2022 Skoda Superb 1.5 TSI 150 HP DSG Prestige NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1470 kg,11.70 mt.,1864 mm,4869 mm,1503 mm,,1730 lt,595 lt,,2022 Skoda Superb 1.5 TSI 150 HP DSG Sportline,,2022 Skoda Superb 1.5 TSI 150 HP DSG Sportline Test Sürüşü Talep Sayfası,2022 Skoda Superb 1.5 TSI 150 HP DSG Sportline Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,,,,,,,,Turbo,,4,1498 cc,TSI - Doğrudan Enjeksiyon,9.2 saniye,219 km/s,250 nm,150 BG,Çek Cumhuriyeti > Almanya,,Binek,Sportline,,Sedan,2022,İçten Yanmalı (Standart),2746 tl/yıl,D,Superb,Benzin,https://www.epey.com/araba/2022-skoda-superb-1-5-tsi-150-hp-dsg-sportline.html,,,,,,,123 g/km,,5.4 lt,,66 lt,Euro 6,4.6 lt,6.8 lt,5 yıldız,2022 Skoda Superb 1.5 TSI 150 HP DSG Sportline NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1665 kg,11.70 mt.,1864 mm,4869 mm,1503 mm,,1730 lt,595 lt,,2022 Skoda Superb 2.0 TDI 190 HP DSG L&K Crystal (4x4),,2022 Skoda Superb 2.0 TDI 190 HP DSG L&K Crystal (4x4) Test Sürüşü Talep Sayfası,2022 Skoda Superb 2.0 TDI 190 HP DSG L&K Crystal (4x4) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Skoda Yol Yardımı 0212 216 4228
Skoda Yol Yardımı 0212 275 0121
Skoda Yol Yardımı 0800 211 4106",Var,,,,,,,,,,,,Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,8.0 saniye,232 km/s,400 nm,190 BG,Çek Cumhuriyeti > Almanya,,Binek,L&K Crystal,,Sedan,2022,İçten Yanmalı (Standart),7641 tl/yıl,D,Superb,Dizel,https://www.epey.com/araba/2022-skoda-superb-2-0-tdi-190-hp-dsg-lk-crystal-4x4.html,,,,,,,129 g/km,,4.9 lt,,66 lt,Euro 6,4.4 lt,5.8 lt,5 yıldız,2022 Skoda Superb 2.0 TDI 190 HP DSG L&K Crystal (4x4) NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,4x4 Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1495 kg,,1795 mm,4390 mm,1555 mm,377 Lt.Hacim (Lastik Tamir Kitli Modellerde),,297 lt,,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Flame (4x2),,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Flame (4x2) Test Sürüşü Talep Sayfası,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Flame (4x2) Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166
Toyota İletişim Merkezi 0212 354 0354",Var,163 nm,,,Lityum İyon,,,,,,,,Atmosferik,,4,1798 cc,EFI (Elektronik Yakıt Püskürtme),11.0 saniye,170 km/s,142 nm,122 BG,Japonya,,Binek,Flame,,SUV,2022,HEV (Benzinli & Elektrikli),4851 tl/yıl,B,C-HR,Benzin & Elektrik,https://www.epey.com/araba/2022-toyota-c-hr-1-8-hybrid-122-ps-e-cvt-flame-4x2.html,,,,,,,86 g/km,,3.8 lt,,43 lt,Euro 6,3.2 lt,4.2 lt,5 yıldız,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Flame (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
1495 kg,,1795 mm,4390 mm,1555 mm,377 Lt.Hacim (Lastik Tamir Kitli Modellerde),,297 lt,,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Passion (4x2),,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Passion (4x2) Test Sürüşü Talep Sayfası,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Passion (4x2) Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166
Toyota İletişim Merkezi 0212 354 0354",Var,163 nm,,,Lityum İyon,,,,,,,,Atmosferik,,4,1798 cc,EFI (Elektronik Yakıt Püskürtme),11.0 saniye,170 km/s,142 nm,122 BG,Japonya,,Binek,Passion,,SUV,2022,HEV (Benzinli & Elektrikli),4851 tl/yıl,B,C-HR,Benzin & Elektrik,https://www.epey.com/araba/2022-toyota-c-hr-1-8-hybrid-122-ps-e-cvt-passion-4x2.html,,,,,,,86 g/km,,3.8 lt,,43 lt,Euro 6,3.2 lt,4.2 lt,5 yıldız,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Passion (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
1495 kg,,1795 mm,4390 mm,1555 mm,377 Lt.Hacim (Lastik Tamir Kitli Modellerde),,297 lt,,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Passion X-Pack (4x2),,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Passion X-Pack (4x2) Test Sürüşü Talep Sayfası,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Passion X-Pack (4x2) Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166
Toyota İletişim Merkezi 0212 354 0354",Var,163 nm,,,Lityum İyon,,,,,,,,Atmosferik,,4,1798 cc,EFI (Elektronik Yakıt Püskürtme),11.0 saniye,170 km/s,142 nm,122 BG,Japonya,,Binek,Passion X-Pack,,SUV,2022,HEV (Benzinli & Elektrikli),4851 tl/yıl,B,C-HR,Benzin & Elektrik,https://www.epey.com/araba/2022-toyota-c-hr-1-8-hybrid-122-ps-e-cvt-passion-x-pack-4x2.html,,,,,,,86 g/km,,3.8 lt,,43 lt,Euro 6,3.2 lt,4.2 lt,5 yıldız,2022 Toyota C-HR 1.8 Hybrid 122 PS e-CVT Passion X-Pack (4x2) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
1350 kg,,1780 mm,4630 mm,1435 mm,,,471 lt,,2022 Toyota Corolla 1.5 123 PS Dream,,2022 Toyota Corolla 1.5 123 PS Dream Test Sürüşü Talep Sayfası,2022 Toyota Corolla 1.5 123 PS Dream Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166
Toyota İletişim Merkezi 0212 354 0354",Var,,,,,,,,,,,,Atmosferik,,3,1490 cc,EFI (Elektronik Yakıt Püskürtme),12.1 saniye,190 km/s,153 nm,123 BG,Japonya,Sedan,Binek,Dream,,Sedan,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,Corolla,Benzin,https://www.epey.com/araba/2022-toyota-corolla-1-5-123-ps-dream.html,,,,,,,128 g/km,,5.6 lt,,50 lt,,4.6 lt,7.5 lt,5 yıldız,2022 Toyota Corolla 1.5 123 PS Dream NCAP/ANCAP Web Sayfası,2013,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1375 kg,,1780 mm,4630 mm,1435 mm,,,471 lt,,2022 Toyota Corolla 1.5 123 PS Multidrive S Dream,,2022 Toyota Corolla 1.5 123 PS Multidrive S Dream Test Sürüşü Talep Sayfası,2022 Toyota Corolla 1.5 123 PS Multidrive S Dream Ürün Kataloğu,"3 Yıl / 100 Bin Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Toyota Asistanım 0212 233 3145
Toyota Asistanım 0800 211 6166
Toyota İletişim Merkezi 0212 354 0354",Var,,,,,,,,,,,,Atmosferik,,3,1490 cc,EFI (Elektronik Yakıt Püskürtme),12.1 saniye,190 km/s,153 nm,123 BG,Japonya,Sedan,Binek,Dream,,Sedan,2022,İçten Yanmalı (Standart),2746 tl/yıl,C,Corolla,Benzin,https://www.epey.com/araba/2022-toyota-corolla-1-5-123-ps-multidrive-s-dream.html,,,,,,,131 g/km,,5.8 lt,,50 lt,,5.0 lt,7.1 lt,5 yıldız,2022 Toyota Corolla 1.5 123 PS Multidrive S Dream NCAP/ANCAP Web Sayfası,2013,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Değişken Oranlı CVT)
