AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1312 kg,,1825 mm,4647 mm,1454 mm,,511 lt,,2021 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Trend X,,,,,,2021 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Trend X Test Sürüşü Talep Sayfası,2021 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,12.4 saniye,194 km/s,150 nm,123 BG,Amerika,Sedan,Binek,Trend X,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2021-ford-focus-1-5-ti-vct-123-ps-otomatik-trend-x.html,,,,,,,150 g/km,6.6 lt,52 lt,Euro 6.2,5.1 lt,9.1 lt,,5 yıldız,2021 Ford Focus 1.5 Ti-VCT 123 PS Otomatik Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1312 kg,,1825 mm,4647 mm,1454 mm,,511 lt,,2021 Ford Focus 1.5 Ti-VCT 123 PS Trend X,,,,,,2021 Ford Focus 1.5 Ti-VCT 123 PS Trend X Test Sürüşü Talep Sayfası,2021 Ford Focus 1.5 Ti-VCT 123 PS Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,11.2 saniye,196 km/s,150 nm,123 BG,Amerika,Sedan,Binek,Trend X,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2021-ford-focus-1-5-ti-vct-123-ps-trend-x.html,,,,,,,134 g/km,6.0 lt,52 lt,Euro 6.2,4.6 lt,8.1 lt,,5 yıldız,2021 Ford Focus 1.5 Ti-VCT 123 PS Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1394 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2021 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Trend X,,,,,,2021 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Trend X Test Sürüşü Talep Sayfası,2021 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,196 km/s,300 nm,120 BG,Amerika,Hatchback,Binek,Trend X,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2021-ford-focus-hb-1-5-ecoblue-120-ps-otomatik-trend-x.html,,,,,,,115 g/km,4.4 lt,47 lt,Euro 6.2,4.1 lt,4.9 lt,,5 yıldız,2021 Ford Focus HB 1.5 EcoBlue 120 PS Otomatik Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1363 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2021 Ford Focus HB 1.5 EcoBlue 120 PS Trend X,,,,,,2021 Ford Focus HB 1.5 EcoBlue 120 PS Trend X Test Sürüşü Talep Sayfası,2021 Ford Focus HB 1.5 EcoBlue 120 PS Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10 saniye,199 km/s,300 nm,120 BG,Amerika,Hatchback,Binek,Trend X,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2021-ford-focus-hb-1-5-ecoblue-120-ps-trend-x.html,,,,,,,90 g/km,3.4 lt,47 lt,Euro 6.2,3.2 lt,3.9 lt,,5 yıldız,2021 Ford Focus HB 1.5 EcoBlue 120 PS Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1336 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2021 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Trend X,,,,,,2021 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Trend X Test Sürüşü Talep Sayfası,2021 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,12.4 saniye,194 km/s,150 nm,123 BG,Amerika,Hatchback,Binek,Trend X,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2021-ford-focus-hb-1-5-ti-vct-123-ps-otomatik-trend-x.html,,,,,,,150 g/km,6.6 lt,52 lt,Euro 6.2,5.1 lt,9.1 lt,,5 yıldız,2021 Ford Focus HB 1.5 Ti-VCT 123 PS Otomatik Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,
1308 kg,,1825 mm,4378 mm,1452 mm,1320 lt,341 lt,,2021 Ford Focus HB 1.5 Ti-VCT 123 PS Trend X,,,,,,2021 Ford Focus HB 1.5 Ti-VCT 123 PS Trend X Test Sürüşü Talep Sayfası,2021 Ford Focus HB 1.5 Ti-VCT 123 PS Trend X Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,,Atmosferik,Ti-VCT (İkiz Egzantrik Zamanlama),,1500 cc,,11.2 saniye,196 km/s,150 nm,123 BG,Amerika,Hatchback,Binek,Trend X,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Focus,Benzin,https://www.epey.com/araba/2021-ford-focus-hb-1-5-ti-vct-123-ps-trend-x.html,,,,,,,134 g/km,6.0 lt,52 lt,Euro 6.2,4.6 lt,8.1 lt,,5 yıldız,2021 Ford Focus HB 1.5 Ti-VCT 123 PS Trend X NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1599 kg,,2000 mm,4614 mm,1678 mm,1478 lt,511 lt,,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik ST-Line (4x2),,,,,,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik ST-Line (4x2) Test Sürüşü Talep Sayfası,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik ST-Line (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,177 km/s,300 nm,120 BG,Amerika,,Binek,ST-Line,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Kuga,Dizel,https://www.epey.com/araba/2021-ford-kuga-1-5-ecoblue-120-ps-otomatik-st-line-4x2.html,,,,,,,125 g/km,4.7 lt,54 lt,Eu 6d Temp,4.2 lt,5.1 lt,,5 yıldız,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik ST-Line (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1599 kg,,2000 mm,4614 mm,1678 mm,1478 lt,511 lt,,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik Style (4x2),,,,,,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik Style (4x2) Test Sürüşü Talep Sayfası,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik Style (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,177 km/s,300 nm,120 BG,Amerika,,Binek,Style,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Kuga,Dizel,https://www.epey.com/araba/2021-ford-kuga-1-5-ecoblue-120-ps-otomatik-style-4x2.html,,,,,,,125 g/km,4.7 lt,54 lt,Eu 6d Temp,4.2 lt,5.1 lt,,5 yıldız,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik Style (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1599 kg,,2000 mm,4614 mm,1678 mm,1478 lt,511 lt,,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik Titanium (4x2),,,,,,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik Titanium (4x2) Test Sürüşü Talep Sayfası,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik Titanium (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,177 km/s,300 nm,120 BG,Amerika,,Binek,Titanium,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Kuga,Dizel,https://www.epey.com/araba/2021-ford-kuga-1-5-ecoblue-120-ps-otomatik-titanium-4x2.html,,,,,,,125 g/km,4.7 lt,54 lt,Eu 6d Temp,4.2 lt,5.1 lt,,5 yıldız,2021 Ford Kuga 1.5 EcoBlue 120 PS Otomatik Titanium (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1576 kg,,2000 mm,4614 mm,1678 mm,1478 lt,511 lt,,2021 Ford Kuga 1.5 EcoBlue 120 PS Style (4x2),,,,,,2021 Ford Kuga 1.5 EcoBlue 120 PS Style (4x2) Test Sürüşü Talep Sayfası,2021 Ford Kuga 1.5 EcoBlue 120 PS Style (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,11.7 saniye,180 km/s,300 nm,120 BG,Amerika,,Binek,Style,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Kuga,Dizel,https://www.epey.com/araba/2021-ford-kuga-1-5-ecoblue-120-ps-style-4x2.html,,,,,,,109 g/km,4.2 lt,54 lt,Eu 6d Temp,3.8 lt,4.7 lt,,5 yıldız,2021 Ford Kuga 1.5 EcoBlue 120 PS Style (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1564 kg,,2000 mm,4614 mm,1678 mm,1478 lt,511 lt,,2021 Ford Kuga 1.5 EcoBoost 120 PS Style (4x2),,,,,,2021 Ford Kuga 1.5 EcoBoost 120 PS Style (4x2) Test Sürüşü Talep Sayfası,2021 Ford Kuga 1.5 EcoBoost 120 PS Style (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,3,1497 cc,Direkt Enjeksiyon,11.6 saniye,184 km/s,240 nm,120 BG,Amerika,,Binek,Style,SUV,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Kuga,Benzin,https://www.epey.com/araba/2021-ford-kuga-1-5-ecoboost-120-ps-style-4x2.html,,,,,,,127 g/km,5.6 lt,54 lt,Eu 6d Temp,4.9 lt,6.8 lt,,5 yıldız,2021 Ford Kuga 1.5 EcoBoost 120 PS Style (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1844 kg,,2000 mm,4614 mm,1678 mm,1478 lt,511 lt,,2021 Ford Kuga Plug-in Hibrit 2.5 225 PS CVT ST-Line (4x2),,,,,,2021 Ford Kuga Plug-in Hibrit 2.5 225 PS CVT ST-Line (4x2) Test Sürüşü Talep Sayfası,2021 Ford Kuga Plug-in Hibrit 2.5 225 PS CVT ST-Line (4x2) Ürün Kataloğu,,,,,14.4 kW/sa,,,56 km,Atmosferik,,4,2488 cc,Direkt Enjeksiyon,9.2 saniye,200 km/s,300 nm,225 BG,Amerika,,Binek,ST-Line,SUV,2021,PHEV (Prizden Şarjlı HEV),9170 tl/yıl,C,Kuga,Benzin & Elektrik,https://www.epey.com/araba/2021-ford-kuga-plug-in-hibrit-2-5-225-ps-cvt-st-line-4x2.html,,,,,,,26 g/km,1.2 lt,,Eu 6d Temp,,,,5 yıldız,2021 Ford Kuga Plug-in Hibrit 2.5 225 PS CVT ST-Line (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,CVT
1326 kg,,1805 mm,4186 mm,1536 mm,1216 lt,456 lt,,2021 Ford Puma 1.0 EcoBoost 125 PS Otomatik ST-Line (4x2),,,,,,2021 Ford Puma 1.0 EcoBoost 125 PS Otomatik ST-Line (4x2) Test Sürüşü Talep Sayfası,2021 Ford Puma 1.0 EcoBoost 125 PS Otomatik ST-Line (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Direkt Enjeksiyon,10.2 saniye,190 km/s,200 nm,125 BG,Amerika,,Binek,ST-Line,SUV,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Puma,Benzin,https://www.epey.com/araba/2021-ford-puma-1-0-ecoboost-125-ps-otomatik-st-line-4x2.html,,,,,,,110 g/km,4.9 lt,42 lt,Euro 6.2,4.3 lt,5.8 lt,,5 yıldız,2021 Ford Puma 1.0 EcoBoost 125 PS Otomatik ST-Line (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,
1326 kg,,1805 mm,4186 mm,1536 mm,1216 lt,456 lt,,2021 Ford Puma 1.0 EcoBoost 125 PS Otomatik Style (4x2),,,,,,2021 Ford Puma 1.0 EcoBoost 125 PS Otomatik Style (4x2) Test Sürüşü Talep Sayfası,2021 Ford Puma 1.0 EcoBoost 125 PS Otomatik Style (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Direkt Enjeksiyon,10.2 saniye,190 km/s,200 nm,125 BG,Amerika,,Binek,Style,SUV,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Puma,Benzin,https://www.epey.com/araba/2021-ford-puma-1-0-ecoboost-125-ps-otomatik-style-4x2.html,,,,,,,110 g/km,4.9 lt,42 lt,Euro 6.2,4.3 lt,5.8 lt,,5 yıldız,2021 Ford Puma 1.0 EcoBoost 125 PS Otomatik Style (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,
1269 kg,,1805 mm,4186 mm,1536 mm,1216 lt,456 lt,,2021 Ford Puma 1.0 EcoBoost 95 PS Style (4x2),,,,,,2021 Ford Puma 1.0 EcoBoost 95 PS Style (4x2) Test Sürüşü Talep Sayfası,2021 Ford Puma 1.0 EcoBoost 95 PS Style (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Direkt Enjeksiyon,11.9 saniye,175 km/s,170 nm,95 BG,Amerika,,Binek,Style,SUV,2021,İçten Yanmalı (Standart),1261 tl/yıl,B,Puma,Benzin,https://www.epey.com/araba/2021-ford-puma-1-0-ecoboost-95-ps-style-4x2.html,,,,,,,140 g/km,4.5 lt,42 lt,Euro 6.2,4.0 lt,5.4 lt,,5 yıldız,2021 Ford Puma 1.0 EcoBoost 95 PS Style (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1280 kg,,1805 mm,4207 mm,1536 mm,1161 lt,401 lt,,2021 Ford Puma Hibrit 1.0 EcoBoost 155 PS ST-Line (4x2),,,,,,2021 Ford Puma Hibrit 1.0 EcoBoost 155 PS ST-Line (4x2) Test Sürüşü Talep Sayfası,2021 Ford Puma Hibrit 1.0 EcoBoost 155 PS ST-Line (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Direkt Enjeksiyon,9.0 saniye,205 km/s,240 nm,155 BG,Amerika,,Binek,ST-Line,SUV,2021,MHEV (Yarı Hibrit Sistem),1261 tl/yıl,B,Puma,Benzin & Elektrik,https://www.epey.com/araba/2021-ford-puma-hibrit-1-0-ecoboost-155-ps-st-line-4x2.html,,,,,,,99 g/km,4.4 lt,42 lt,Euro 6.2,3.9 lt,5.1 lt,,5 yıldız,2021 Ford Puma Hibrit 1.0 EcoBoost 155 PS ST-Line (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1521 kg,,1835 mm,4418 mm,1854 mm,2761 lt,1529 lt,,2021 Ford Tourneo Connect 1.5 EcoBlue 100 PS Deluxe,,,,,,2021 Ford Tourneo Connect 1.5 EcoBlue 100 PS Deluxe Test Sürüşü Talep Sayfası,2021 Ford Tourneo Connect 1.5 EcoBlue 100 PS Deluxe Ürün Kataloğu,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,13.3 saniye,169 km/s,240 nm,100 BG,Amerika,Kombi,Binek,Deluxe,MPV,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,Tourneo Connect,Dizel,https://www.epey.com/araba/2021-ford-tourneo-connect-1-5-ecoblue-100-ps-deluxe.html,,,,,,,120 g/km,4.5 lt,60 lt,Euro 6.2,4.3 lt,5.1 lt,,4 yıldız,2021 Ford Tourneo Connect 1.5 EcoBlue 100 PS Deluxe NCAP/ANCAP Web Sayfası,2018,Var,,749 kg,2270 kg,,,1245 mm,,Önden Çekişli,,,,,6 ileri,Manuel,
1574 kg,,1835 mm,4418 mm,1854 mm,2761 lt,1529 lt,,2021 Ford Tourneo Connect 1.5 EcoBlue 120 PS Otomatik Titanium,,,,,,2021 Ford Tourneo Connect 1.5 EcoBlue 120 PS Otomatik Titanium Test Sürüşü Talep Sayfası,2021 Ford Tourneo Connect 1.5 EcoBlue 120 PS Otomatik Titanium Ürün Kataloğu,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.9 saniye,170 km/s,270 nm,120 BG,Amerika,Kombi,Binek,Titanium,MPV,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,Tourneo Connect,Dizel,https://www.epey.com/araba/2021-ford-tourneo-connect-1-5-ecoblue-120-ps-otomatik-titanium.html,,,,,,,142 g/km,5.4 lt,60 lt,Euro 6.2,4.9 lt,6.3 lt,,4 yıldız,2021 Ford Tourneo Connect 1.5 EcoBlue 120 PS Otomatik Titanium NCAP/ANCAP Web Sayfası,2018,Var,,726 kg,2300 kg,,,1245 mm,,Önden Çekişli,,,,,8 ileri,Otomatik,
1551 kg,,1835 mm,4418 mm,1854 mm,2761 lt,1529 lt,,2021 Ford Tourneo Connect 1.5 EcoBlue 120 PS Titanium,,,,,,2021 Ford Tourneo Connect 1.5 EcoBlue 120 PS Titanium Test Sürüşü Talep Sayfası,2021 Ford Tourneo Connect 1.5 EcoBlue 120 PS Titanium Ürün Kataloğu,,,,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.6 saniye,170 km/s,270 nm,120 BG,Amerika,Kombi,Binek,Titanium,MPV,2021,İçten Yanmalı (Standart),2197 tl/yıl,B,Tourneo Connect,Dizel,https://www.epey.com/araba/2021-ford-tourneo-connect-1-5-ecoblue-120-ps-titanium.html,,,,,,,121 g/km,4.6 lt,60 lt,Euro 6.2,4.4 lt,5.0 lt,,4 yıldız,2021 Ford Tourneo Connect 1.5 EcoBlue 120 PS Titanium NCAP/ANCAP Web Sayfası,2018,Var,,724 kg,2275 kg,,,1245 mm,,Önden Çekişli,,,,,6 ileri,Manuel,
1411 kg,,1799 mm,4518 mm,1428 mm,,420 lt,,2021 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport+,,,,,,2021 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport+ Test Sürüşü Talep Sayfası,2021 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport+ Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),8.2 saniye,200 km/s,220 nm,182 BG,Japonya,Hatchback,Binek,Sport+,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Civic,Benzin,https://www.epey.com/araba/2021-honda-civic-hb-1-5-vtec-turbo-182-ps-cvt-sport-plus.html,,,,,,,137 g/km,6.0 lt,46 lt,,5.0 lt,7.7 lt,,5 yıldız,2021 Honda Civic HB 1.5 VTEC Turbo 182 PS CVT Sport+ NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1388 kg,,1799 mm,4658 mm,1407 mm,,519 lt,,2021 Honda Civic Sedan 1.5 182 PS Otomatik Elegance,,,,,,2021 Honda Civic Sedan 1.5 182 PS Otomatik Elegance Test Sürüşü Talep Sayfası,2021 Honda Civic Sedan 1.5 182 PS Otomatik Elegance Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),8.2 saniye,200 km/s,220 nm,182 BG,Japonya,Sedan,Binek,Elegance,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Civic,Benzin,https://www.epey.com/araba/2021-honda-civic-sedan-1-5-182-ps-otomatik-elegance.html,,,,,,,130 g/km,5.7 lt,46 lt,,4.7 lt,7.5 lt,Yok,4 yıldız,2021 Honda Civic Sedan 1.5 182 PS Otomatik Elegance NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
1388 kg,,1799 mm,4658 mm,1407 mm,,519 lt,,2021 Honda Civic Sedan 1.5 182 PS Otomatik Executive+,,,,,,2021 Honda Civic Sedan 1.5 182 PS Otomatik Executive+ Test Sürüşü Talep Sayfası,2021 Honda Civic Sedan 1.5 182 PS Otomatik Executive+ Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),8.2 saniye,200 km/s,220 nm,182 BG,Japonya,Sedan,Binek,Executive+,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,C,Civic,Benzin,https://www.epey.com/araba/2021-honda-civic-sedan-1-5-182-ps-otomatik-executive-plus.html,,,,,,,130 g/km,5.7 lt,46 lt,,4.7 lt,7.5 lt,Yok,4 yıldız,2021 Honda Civic Sedan 1.5 182 PS Otomatik Executive+ NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT
