AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Diğer Özellikler,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),Başlık,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (Elektrikli) - Menzil (WLTP-Şehir İçi),MOTOR (Elektrikli) - Motor Gücü,MOTOR (Elektrikli) - Ortalama Tüketim (Elk.),MOTOR (Elektrikli) - Şarj Süresi,MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon (WLTP),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km/WLTP),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Yükseklik,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
2147 kg,,1890 mm,4785 mm,1668 mm,,1440 lt,425 lt,2025 BYD Seal U EV Design 218 HP (4x2),2025 BYD Seal U EV Design 218 HP (4x2) Test Sürüşü Talep Sayfası,2025 BYD Seal U EV Design 218 HP (4x2) Ürün Kataloğu,330 nm,87.0 kW/sa,BYD Blade Batarya (LFP),,500 km,674 km,160 kW,20.5 kWsa/100km,"AC (11 kW) (%0 - %100) 9sa.3dk.
DC (140 kW) (%10 - %80) 43dk.
DC (140 kW) (%30 - %80) 28dk.",,,,,9.6 saniye,175 km/s,330 nm,218 BG,Çin,,Binek,Design,SUV,2025,BEV (Elektrikli),,D,Seal U,Elektrik,https://www.epey.com/araba/2025-byd-seal-u-ev-design-218-hp-4x2.html,,,,,,,,,5 yıldız,2025 BYD Seal U EV Design 218 HP (4x2) NCAP/ANCAP Web Sayfası,2023,Var,,,,Önden Çekişli,,Otomatik,
1567 kg,,1862 mm,4513 mm,1705 mm,,,475 lt,2025 Chery Tiggo7 Pro Max 1.6 145 HP DCT Exceptional (4x2),2025 Chery Tiggo7 Pro Max 1.6 145 HP DCT Exceptional (4x2) Test Sürüşü Talep Sayfası,2025 Chery Tiggo7 Pro Max 1.6 145 HP DCT Exceptional (4x2) Ürün Kataloğu,,,,,,,,,,Turbo,4,1598 cc,Direkt Enjeksiyon,10.3 saniye,180 km/s,275 nm,145 BG,Çin,,Binek,Exceptional,SUV,2025,İçten Yanmalı (Standart),,C,Tiggo7 Pro Max,Benzin,https://www.epey.com/araba/2025-chery-tiggo7-pro-max-1-6-145-hp-dct-exceptional-4x2.html,,166 g/km,,7.3 lt,51 lt,,,,5 yıldız,2025 Chery Tiggo7 Pro Max 1.6 145 HP DCT Exceptional (4x2) NCAP/ANCAP Web Sayfası,2023,Var,,,,Önden Çekişli,7 ileri,Otomatik,DCT (Yarı Otm.)
1567 kg,,1862 mm,4513 mm,1705 mm,,,475 lt,2025 Chery Tiggo7 Pro Max 1.6 145 HP DCT Intelligent (4x2),2025 Chery Tiggo7 Pro Max 1.6 145 HP DCT Intelligent (4x2) Test Sürüşü Talep Sayfası,2025 Chery Tiggo7 Pro Max 1.6 145 HP DCT Intelligent (4x2) Ürün Kataloğu,,,,,,,,,,Turbo,4,1598 cc,Direkt Enjeksiyon,10.3 saniye,180 km/s,275 nm,145 BG,Çin,,Binek,Intelligent,SUV,2025,İçten Yanmalı (Standart),,C,Tiggo7 Pro Max,Benzin,https://www.epey.com/araba/2025-chery-tiggo7-pro-max-1-6-145-hp-dct-intelligent-4x2.html,,166 g/km,,7.3 lt,51 lt,,,,5 yıldız,2025 Chery Tiggo7 Pro Max 1.6 145 HP DCT Intelligent (4x2) NCAP/ANCAP Web Sayfası,2023,Var,,,,Önden Çekişli,7 ileri,Otomatik,DCT (Yarı Otm.)
1704 kg,,1860 mm,4720 mm,1705 mm,,,479 lt,2025 Chery Tiggo8 Pro Max 1.6 145 HP DCT Exceptional (4x2),2025 Chery Tiggo8 Pro Max 1.6 145 HP DCT Exceptional (4x2) Test Sürüşü Talep Sayfası,2025 Chery Tiggo8 Pro Max 1.6 145 HP DCT Exceptional (4x2) Ürün Kataloğu,,,,,,,,,,Turbo,4,1598 cc,Direkt Enjeksiyon,10.6 saniye,190 km/s,275 nm,145 BG,Çin,,Binek,Exceptional,SUV,2025,İçten Yanmalı (Standart),,D,Tiggo8 Pro Max,Benzin,https://www.epey.com/araba/2025-chery-tiggo8-pro-max-1-6-145-hp-dct-exceptional-4x2.html,,171 g/km,,7.5 lt,57 lt,,,,5 yıldız,2025 Chery Tiggo8 Pro Max 1.6 145 HP DCT Exceptional (4x2) NCAP/ANCAP Web Sayfası,2023,Var,,,,Önden Çekişli,7 ileri,Otomatik,DCT (Yarı Otm.)
1704 kg,,1860 mm,4720 mm,1705 mm,,,479 lt,2025 Chery Tiggo8 Pro Max 1.6 145 HP DCT Intelligent (4x2),2025 Chery Tiggo8 Pro Max 1.6 145 HP DCT Intelligent (4x2) Test Sürüşü Talep Sayfası,2025 Chery Tiggo8 Pro Max 1.6 145 HP DCT Intelligent (4x2) Ürün Kataloğu,,,,,,,,,,Turbo,4,1598 cc,Direkt Enjeksiyon,10.6 saniye,190 km/s,275 nm,145 BG,Çin,,Binek,Intelligent,SUV,2025,İçten Yanmalı (Standart),,D,Tiggo8 Pro Max,Benzin,https://www.epey.com/araba/2025-chery-tiggo8-pro-max-1-6-145-hp-dct-intelligent-4x2.html,,171 g/km,,7.5 lt,57 lt,,,,5 yıldız,2025 Chery Tiggo8 Pro Max 1.6 145 HP DCT Intelligent (4x2) NCAP/ANCAP Web Sayfası,2023,Var,,,,Önden Çekişli,7 ileri,Otomatik,DCT (Yarı Otm.)
1428 kg,,1610 mm,3825 mm,1610 mm,Kızaklı Arka Koltuklar En Önde 351 Lt.,1059 lt,238 lt,2025 Hyundai INSTER Advance 115 BG (4X2),2025 Hyundai INSTER Advance 115 BG (4X2) Test Sürüşü Talep Sayfası,2025 Hyundai INSTER Advance 115 BG (4X2) Ürün Kataloğu,147 nm,49.0 kW/sa,Lityum İyon,,360 km,493 km,84.5 kW,15.1 kWsa/100km,"AC 4sa.35dk.
DC (50 kW) (%10 - %80) 55dk.
DC 350 kW (%10 - %80) 30 dk.",,,,,10.6 saniye,150 km/s,147 nm,115 BG,Güney Kore,,Binek,Advance,SUV,2025,BEV (Elektrikli),,A,INSTER,Elektrik,https://www.epey.com/araba/2025-hyundai-inster-advance-115-bg-4x2.html,,,,,,,,,4 yıldız,2025 Hyundai INSTER Advance 115 BG (4X2) NCAP/ANCAP Web Sayfası,2025,Var,,,,Önden Çekişli,,Otomatik,
1514 kg,,1795 mm,4385 mm,1635 mm,,1600 lt,460 lt,2025 Opel Frontera Elektrik 111 HP Edition (4x2),2025 Opel Frontera Elektrik 111 HP Edition (4x2) Test Sürüşü Talep Sayfası,,125 nm,44.0 kW/sa,LiFePO 4 (Lityum-Demir-Fosfat),,304 km,,83 kW,18.3 kWsa/100km,"AC 1 Faz 7.4 kW (%100) 7s 6dk
AC 3 Faz 11 kW (%100) 5 Saat
DC (100 kW) (%0 - %80) 26dk.",,,,,12.1 saniye,140 km/s,125 nm,111 BG,Almanya > Hollanda,,Binek,Edition,SUV,2025,BEV (Elektrikli),,B,Frontera,Elektrik,https://www.epey.com/araba/2025-opel-frontera-elektrik-111-hp-edition-4x2.html,,,,,,,,,,,,,,,,Önden Çekişli,,,
1344 kg,,1795 mm,4385 mm,1635 mm,,1600 lt,460 lt,2025 Opel Frontera Hybrid 1.2 136 HP Edition (4x2),2025 Opel Frontera Hybrid 1.2 136 HP Edition (4x2) Test Sürüşü Talep Sayfası,,55 nm,,,,,,21 kW,,,Turbo,3,1199 cc,Direkt Enjeksiyon,9.0 saniye,190 km/s,230 nm,136 BG,Almanya > Hollanda,,Binek,Edition,SUV,2025,HEV (Benzinli & Elektrikli),,B,Frontera,Benzin & Elektrik,https://www.epey.com/araba/2025-opel-frontera-hybrid-1-2-136-hp-edition-4x2.html,,122 g/km,5.5 lt,,44 lt,,,,,,,,,,,Önden Çekişli,6 ileri,Otomatik,
1344 kg,,1795 mm,4385 mm,1635 mm,,1600 lt,460 lt,2025 Opel Frontera Hybrid 1.2 136 HP GS (4x2),2025 Opel Frontera Hybrid 1.2 136 HP GS (4x2) Test Sürüşü Talep Sayfası,,55 nm,,,,,,21 kW,,,Turbo,3,1199 cc,Direkt Enjeksiyon,9.0 saniye,190 km/s,230 nm,136 BG,Almanya > Hollanda,,Binek,GS,SUV,2025,HEV (Benzinli & Elektrikli),,B,Frontera,Benzin & Elektrik,https://www.epey.com/araba/2025-opel-frontera-hybrid-1-2-136-hp-gs-4x2.html,,122 g/km,5.5 lt,,44 lt,,,,,,,,,,,Önden Çekişli,6 ileri,Otomatik,
2120 kg,,1934 mm,4650 mm,2103 mm,,1645 lt,550 lt,2025 Opel Grandland Elektrik 210 HP GS (4x2),2025 Opel Grandland Elektrik 210 HP GS (4x2) Test Sürüşü Talep Sayfası,2025 Opel Grandland Elektrik 210 HP GS (4x2) Ürün Kataloğu,345 nm,82.0 kW/sa,,,585 km,,157 kW,17.7 kWsa/100km,DC (150 kW) (%80) 29dk.,,,,,9.0 saniye,170 km/s,345 nm,210 BG,Almanya > (Fransa/İtalya/Amerika Ortak),,Binek,GS,SUV,2025,BEV (Elektrikli),,C,Grandland,Elektrik,https://www.epey.com/araba/2025-opel-grandland-elektrik-210-hp-gs-4x2.html,,,,,,,,,4 yıldız,2025 Opel Grandland Elektrik 210 HP GS (4x2) NCAP/ANCAP Web Sayfası,2025,Var,,,,Önden Çekişli,,Otomatik,
2108 kg,,1890 mm,4535 mm,1665 mm,,,520 lt,2025 Peugeot E-3008 Allure 210 HP (4x2),2025 Peugeot E-3008 Allure 210 HP (4x2) Test Sürüşü Talep Sayfası,2025 Peugeot E-3008 Allure 210 HP (4x2) Ürün Kataloğu,345 nm,73.0 kW/sa,Lityum İyon,,483 km,,157 kW,18.5 kWsa/100km,"AC 11 kW (%20 - %80) 4s 30dk.
AC 7.4 kW (%20 - %80) 6s. 45dk.
DC (160 kW) (%20 - %80) 30dk.",,,,,8.8 saniye,170 km/s,345 nm,210 BG,Fransa,,Binek,Allure,SUV,2025,BEV (Elektrikli),,C,3008,Elektrik,https://www.epey.com/araba/2025-peugeot-e-3008-allure-210-hp-4x2.html,,,,,,,,,4 yıldız,2025 Peugeot E-3008 Allure 210 HP (4x2) NCAP/ANCAP Web Sayfası,2025,Var,,,,Önden Çekişli,,Otomatik,
2108 kg,,1890 mm,4535 mm,1665 mm,,,520 lt,2025 Peugeot E-3008 GT 210 HP (4x2),2025 Peugeot E-3008 GT 210 HP (4x2) Test Sürüşü Talep Sayfası,,345 nm,73.0 kW/sa,Lityum İyon,,483 km,,157 kW,18.5 kWsa/100km,"AC 11 kW (%20 - %80) 4s 30dk.
AC 7.4 kW (%20 - %80) 6s. 45dk.
DC (160 kW) (%20 - %80) 30dk.",,,,,8.8 saniye,170 km/s,345 nm,210 BG,Fransa,,Binek,GT,SUV,2025,BEV (Elektrikli),,C,3008,Elektrik,https://www.epey.com/araba/2025-peugeot-e-3008-gt-210-hp-4x2.html,,,,,,,,,4 yıldız,2025 Peugeot E-3008 GT 210 HP (4x2) NCAP/ANCAP Web Sayfası,2025,Var,,,,Önden Çekişli,,Otomatik,
1898 kg,,1982 mm,4790 mm,1624 mm,,2138 lt,,2025 Tesla Model Y Long Range 340 HP (4x2),2025 Tesla Model Y Long Range 340 HP (4x2) Test Sürüşü Talep Sayfası,,450 nm,75 kW/sa,,,622 km,,250 kW,15.3 kWsa/100km,15 Dakika Şarj İle 267 Km Menzil,,,,,7.6 saniye,201 km/s,378 nm,514 BG,Amerika,,Binek,,SUV,2025,BEV (Elektrikli),,C,Model Y,Elektrik,https://www.epey.com/araba/2025-tesla-model-y-long-range-340-hp-4x2.html,,,,,,,,,5 yıldız,2025 Tesla Model Y Long Range 340 HP (4x2) NCAP/ANCAP Web Sayfası,2022,Var,,,,Arkadan İtişli,,Otomatik,
1997 kg,,1982 mm,4790 mm,1624 mm,,2138 lt,,2025 Tesla Model Y Long Range 514 HP (4x4),2025 Tesla Model Y Long Range 514 HP (4x4) Test Sürüşü Talep Sayfası,,493 nm,75 kW/sa,,Çift Motor,568 km,,378 kW,15.3 kWsa/100km,15 Dakika Şarj İle 267 Km Menzil,,,,,4.8 saniye,201 km/s,378 nm,514 BG,Amerika,,Binek,,SUV,2025,BEV (Elektrikli),,C,Model Y,Elektrik,https://www.epey.com/araba/2025-tesla-model-y-long-range-514-hp-4x4.html,,,,,,,,,5 yıldız,2025 Tesla Model Y Long Range 514 HP (4x4) NCAP/ANCAP Web Sayfası,2022,Var,,,,4x4 Çekişli,,Otomatik,
1980 kg,,1963 mm,4997 mm,1455 mm,Ön Bagaj Bölmesi 105 Lt.,,517 lt,2025 Xiaomi SU7 295 HP (4X2),,,400 nm,73.6 kW/sa,Lityum Demir Fosfat (LFP),,560 km,,220 kW,15.5 kWsa/100km,,,,,,5.3 saniye,210 km/s,400 nm,295 BG,Çin,,Binek,,Sedan,2025,BEV (Elektrikli),,D,SU7,Elektrik,https://www.epey.com/araba/2025-xiaomi-su7-295-hp-4x2.html,,,,,,,,,5 yıldız,2025 Xiaomi SU7 295 HP (4X2) NCAP/ANCAP Web Sayfası,2024,Var,,,,Arkadan İtişli,,Otomatik,
2205 kg,,1963 mm,4997 mm,1455 mm,Ön Bagaj Bölmesi 105 Lt.,,517 lt,2025 Xiaomi SU7 Max 664 HP (4X4),,,838 nm,101 kW/sa,Lityum Demir Fosfat (LFP),,640 km,,495 kW,18.6 kWsa/100km,,,,,,2.8 saniye,265 km/s,838 nm,664 BG,Çin,,Binek,,Sedan,2025,BEV (Elektrikli),,D,SU7,Elektrik,https://www.epey.com/araba/2025-xiaomi-su7-max-664-hp-4x4.html,,,,,,,,,5 yıldız,2025 Xiaomi SU7 Max 664 HP (4X4) NCAP/ANCAP Web Sayfası,2024,Var,,,,4x4 Çekişli,,Otomatik,
2090 kg,,1963 mm,4997 mm,1455 mm,Ön Bagaj Bölmesi 105 Lt.,,517 lt,2025 Xiaomi SU7 Pro 295 HP (4X2),,,400 nm,94.3 kW/sa,Lityum Demir Fosfat (LFP),,660 km,,220 kW,16.8 kWsa/100km,,,,,,5.7 saniye,210 km/s,400 nm,295 BG,Çin,,Binek,,Sedan,2025,BEV (Elektrikli),,D,SU7,Elektrik,https://www.epey.com/araba/2025-xiaomi-su7-pro-295-hp-4x2.html,,,,,,,,,5 yıldız,2025 Xiaomi SU7 Pro 295 HP (4X2) NCAP/ANCAP Web Sayfası,2024,Var,,,,Arkadan İtişli,,Otomatik,
