AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Engelli Bireyler İçin ÖTV Muafiyeti,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - Hava Yastığı,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Yerden Yükseklik (Azami),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1669 kg,,1855 mm,4600 mm,1681 mm,,561 lt,,2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4),2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4) Test Sürüşü Talep Sayfası,2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4) Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik","Garanti Süresi Boyunca Ücretsiz
Honda Aktif Acil Yol Yardım 0212 234 6632",Var,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.0 saniye,200 km/s,243 nm,193 BG,Japonya,,Binek,Elegance,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,CR-V,Benzin,https://www.epey.com/araba/2019-honda-cr-v-1-5-vtec-193-bg-otomatik-elegance-4x4.html,,,,,,162 g/km,7.1 lt,57 lt,,6.2 lt,8.6 lt,,,5 yıldız,2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Elegance (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,,4x4 Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1669 kg,,1855 mm,4600 mm,1681 mm,,561 lt,,2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4),2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4) Test Sürüşü Talep Sayfası,2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4) Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik","Garanti Süresi Boyunca Ücretsiz
Honda Aktif Acil Yol Yardım 0212 234 6632",Var,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.0 saniye,200 km/s,243 nm,193 BG,Japonya,,Binek,Executive,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,CR-V,Benzin,https://www.epey.com/araba/2019-honda-cr-v-1-5-vtec-193-bg-otomatik-executive-4x4.html,,,,,,162 g/km,7.1 lt,57 lt,,6.2 lt,8.6 lt,,,5 yıldız,2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,,4x4 Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1669 kg,,1855 mm,4600 mm,1681 mm,,561 lt,,2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4),2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4) Test Sürüşü Talep Sayfası,2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4) Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik","Garanti Süresi Boyunca Ücretsiz
Honda Aktif Acil Yol Yardım 0212 234 6632",Var,,,,,Turbo,,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.0 saniye,200 km/s,243 nm,193 BG,Japonya,,Binek,Executive+,,SUV,2019,İçten Yanmalı (Standart),1800 tl/yıl,C,CR-V,Benzin,https://www.epey.com/araba/2019-honda-cr-v-1-5-vtec-193-bg-otomatik-executiveplus-4x4.html,,,,,,162 g/km,7.1 lt,57 lt,,6.2 lt,8.6 lt,,,5 yıldız,2019 Honda CR-V 1.5 VTEC 193 BG Otomatik Executive+ (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,,4x4 Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1743 kg,,1855 mm,4600 mm,1681 mm,,497 lt,,2019 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4),2019 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4) Test Sürüşü Talep Sayfası,2019 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4) Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik","Garanti Süresi Boyunca Ücretsiz
Honda Aktif Acil Yol Yardım 0212 234 6632",Var,,1.3 kW/sa,Lityum İyon,,Atmosferik,,4,1993 cc,PGM-FI (Direkt Enjeksiyon),9.2 saniye,180 km/s,315 nm,184 BG,Japonya,,Binek,Executive+,,SUV,2019,HEV (Benzinli & Elektrikli),5003 tl/yıl,C,CR-V,Benzin & Elektrik,https://www.epey.com/araba/2019-honda-cr-v-2-0-i-mmd-hybrid-184-ps-e-cvt-executiveplus-4x4.html,,,,,,126 g/km,5.5 lt,57 lt,,5.1 lt,5.7 lt,,,5 yıldız,2019 Honda CR-V 2.0 i-MMD Hybrid 184 PS E-CVT Executive+ (4x4) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,,4x4 Çekişli,,,,,,Otomatik,E-CVT (Elektronik Sabit Hızlı)
1174 kg,,1694 mm,4028 mm,1541 mm,,354 lt,,2019 Honda Jazz 1.3 102 PS Otomatik Dream,2019 Honda Jazz 1.3 102 PS Otomatik Dream Test Sürüşü Talep Sayfası,2019 Honda Jazz 1.3 102 PS Otomatik Dream Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,Atmosferik,DOHC i-VTEC,4,1318 cc,PGM-FI (Direkt Enjeksiyon),12.3 saniye,182 km/s,123 nm,102 BG,Japonya,,Binek,Dream,,Hatchback,2019,İçten Yanmalı (Standart),1800 tl/yıl,B,Jazz,Benzin,https://www.epey.com/araba/2019-honda-jazz-1-3-102-ps-otomatik-dream.html,,,,,,114 g/km,5.0 lt,40 lt,,4.6 lt,5.6 lt,,,5 yıldız,2019 Honda Jazz 1.3 102 PS Otomatik Dream NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1174 kg,,1694 mm,4028 mm,1541 mm,,354 lt,,2019 Honda Jazz 1.3 102 PS Otomatik Elegance,2019 Honda Jazz 1.3 102 PS Otomatik Elegance Test Sürüşü Talep Sayfası,2019 Honda Jazz 1.3 102 PS Otomatik Elegance Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,Atmosferik,DOHC i-VTEC,4,1318 cc,PGM-FI (Direkt Enjeksiyon),12.3 saniye,182 km/s,123 nm,102 BG,Japonya,,Binek,Elegance,,Hatchback,2019,İçten Yanmalı (Standart),1800 tl/yıl,B,Jazz,Benzin,https://www.epey.com/araba/2019-honda-jazz-1-3-102-ps-otomatik-elegance.html,,,,,,114 g/km,5.0 lt,40 lt,,4.6 lt,5.6 lt,,,5 yıldız,2019 Honda Jazz 1.3 102 PS Otomatik Elegance NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1196 kg,,1694 mm,4051 mm,1541 mm,,354 lt,,2019 Honda Jazz 1.5 130 PS Otomatik Dynamic,2019 Honda Jazz 1.5 130 PS Otomatik Dynamic Test Sürüşü Talep Sayfası,2019 Honda Jazz 1.5 130 PS Otomatik Dynamic Ürün Kataloğu,"Periyodik Bakım Şartı
Satarken Garantiyi Devredebilme
6 Yıl / 150 Bin Km Mekanik",Honda Aktif Acil Yol Yardım 0212 234 6632,Var,,,,,Atmosferik,DOHC i-VTEC,4,1498 cc,PGM-FI (Direkt Enjeksiyon),10.0 saniye,190 km/s,155 nm,130 BG,Japonya,,Binek,Dynamic,,Hatchback,2019,İçten Yanmalı (Standart),1800 tl/yıl,B,Jazz,Benzin,https://www.epey.com/araba/2019-honda-jazz-1-5-130-ps-otomatik-dynamic.html,,,,,,124 g/km,5.4 lt,40 lt,,4.9 lt,6.4 lt,,,5 yıldız,2019 Honda Jazz 1.5 130 PS Otomatik Dynamic NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,,Otomatik,CVT (Değişken Oranlı)
1008 kg,,1660 mm,3665 mm,1500 mm,1046 lt,252 lt,,2019 Hyundai i10 1.0 D-CVVT 66 PS Jump,2019 Hyundai i10 1.0 D-CVVT 66 PS Jump Test Sürüşü Talep Sayfası,2019 Hyundai i10 1.0 D-CVVT 66 PS Jump Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Atmosferik,,3,998 cc,Çok Noktadan Enjeksiyon,14.7 saniye,156 km/s,95 nm,66 BG,Güney Kore,,Binek,Jump,Var,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,A,i10,Benzin,https://www.epey.com/araba/2019-hyundai-i10-1-0-d-cvvt-66-ps-jump.html,,,,,,108 g/km,4.7 lt,40 lt,,4.0 lt,6.0 lt,,,4 yıldız,2019 Hyundai i10 1.0 D-CVVT 66 PS Jump NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1027 kg,,1660 mm,3665 mm,1500 mm,1046 lt,252 lt,,2019 Hyundai i10 1.0 D-CVVT 66 PS Otomatik Jump,2019 Hyundai i10 1.0 D-CVVT 66 PS Otomatik Jump Test Sürüşü Talep Sayfası,2019 Hyundai i10 1.0 D-CVVT 66 PS Otomatik Jump Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Atmosferik,,3,998 cc,Çok Noktadan Enjeksiyon,16.8 saniye,150 km/s,95 nm,66 BG,Güney Kore,,Binek,Jump,Var,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,A,i10,Benzin,https://www.epey.com/araba/2019-hyundai-i10-1-0-d-cvvt-66-ps-otomatik-jump.html,,,,,,135 g/km,5.8 lt,40 lt,,4.8 lt,7.3 lt,,,4 yıldız,2019 Hyundai i10 1.0 D-CVVT 66 PS Otomatik Jump NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,,Önden Çekişli,,,,,4 ileri,Otomatik,
1027 kg,,1660 mm,3665 mm,1500 mm,1046 lt,252 lt,,2019 Hyundai i10 1.0 D-CVVT 66 PS Otomatik Style,2019 Hyundai i10 1.0 D-CVVT 66 PS Otomatik Style Test Sürüşü Talep Sayfası,2019 Hyundai i10 1.0 D-CVVT 66 PS Otomatik Style Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Atmosferik,,3,998 cc,Çok Noktadan Enjeksiyon,16.8 saniye,150 km/s,95 nm,66 BG,Güney Kore,,Binek,Style,Var,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,A,i10,Benzin,https://www.epey.com/araba/2019-hyundai-i10-1-0-d-cvvt-66-ps-otomatik-style.html,,,,,,135 g/km,5.8 lt,40 lt,,4.8 lt,7.3 lt,,,4 yıldız,2019 Hyundai i10 1.0 D-CVVT 66 PS Otomatik Style NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,,Önden Çekişli,,,,,4 ileri,Otomatik,
1036 kg,,1660 mm,3665 mm,1500 mm,1046 lt,252 lt,,2019 Hyundai i10 1.25 D-CVVT 87 PS Otomatik Elite Navi,2019 Hyundai i10 1.25 D-CVVT 87 PS Otomatik Elite Navi Test Sürüşü Talep Sayfası,2019 Hyundai i10 1.25 D-CVVT 87 PS Otomatik Elite Navi Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Atmosferik,,4,1248 cc,Çok Noktadan Enjeksiyon,13.8 saniye,166 km/s,121 nm,87 BG,Güney Kore,,Binek,Elite Navi,Var,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,A,i10,Benzin,https://www.epey.com/araba/2019-hyundai-i10-1-25-d-cvvt-87-ps-otomatik-elite-navi.html,,,,,,139 g/km,5.9 lt,40 lt,,5.0 lt,7.4 lt,,,4 yıldız,2019 Hyundai i10 1.25 D-CVVT 87 PS Otomatik Elite Navi NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,,Önden Çekişli,,,,,4 ileri,Otomatik,
1036 kg,,1660 mm,3665 mm,1500 mm,1046 lt,252 lt,,2019 Hyundai i10 1.25 D-CVVT 87 PS Otomatik Elite,2019 Hyundai i10 1.25 D-CVVT 87 PS Otomatik Elite Test Sürüşü Talep Sayfası,2019 Hyundai i10 1.25 D-CVVT 87 PS Otomatik Elite Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Atmosferik,,4,1248 cc,Çok Noktadan Enjeksiyon,13.8 saniye,166 km/s,121 nm,87 BG,Güney Kore,,Binek,Elite,Var,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,A,i10,Benzin,https://www.epey.com/araba/2019-hyundai-i10-1-25-d-cvvt-87-ps-otomatik-elite.html,,,,,,139 g/km,5.9 lt,40 lt,,5.0 lt,7.4 lt,,,4 yıldız,2019 Hyundai i10 1.25 D-CVVT 87 PS Otomatik Elite NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,,Önden Çekişli,,,,,4 ileri,Otomatik,
1185 kg,,1734 mm,4035 mm,1474 mm,1017 lt,301 lt,,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Active Elite Smart,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Active Elite Smart Test Sürüşü Talep Sayfası,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Active Elite Smart Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Turbo,,3,998 cc,Direkt Enjeksiyon,10.5 saniye,190 km/s,172 nm,120 BG,Güney Kore,,Binek,Active Elite Smart,,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2019-hyundai-i20-1-0-t-gdi-120-ps-dct-active-elite-smart.html,,,,,,116 g/km,5.1 lt,50 lt,,4.6 lt,5.9 lt,,,4 yıldız,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Active Elite Smart NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1185 kg,,1734 mm,4035 mm,1474 mm,1017 lt,301 lt,,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Elite Pan Smart,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Elite Pan Smart Test Sürüşü Talep Sayfası,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Elite Pan Smart Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Turbo,,3,998 cc,Direkt Enjeksiyon,10.5 saniye,190 km/s,172 nm,120 BG,Güney Kore,,Binek,Elite Pan Smart,,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2019-hyundai-i20-1-0-t-gdi-120-ps-dct-elite-pan-smart.html,,,,,,116 g/km,5.1 lt,50 lt,,4.6 lt,5.9 lt,,,4 yıldız,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Elite Pan Smart NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1185 kg,,1734 mm,4035 mm,1474 mm,1017 lt,301 lt,,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Elite Pan,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Elite Pan Test Sürüşü Talep Sayfası,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Elite Pan Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Turbo,,3,998 cc,Direkt Enjeksiyon,10.5 saniye,190 km/s,172 nm,120 BG,Güney Kore,,Binek,Elite Pan,,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2019-hyundai-i20-1-0-t-gdi-120-ps-dct-elite-pan.html,,,,,,116 g/km,5.1 lt,50 lt,,4.6 lt,5.9 lt,,,4 yıldız,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Elite Pan NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1185 kg,,1734 mm,4035 mm,1474 mm,1017 lt,301 lt,,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Style MultiMedia,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Style MultiMedia Test Sürüşü Talep Sayfası,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Style MultiMedia Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Turbo,,3,998 cc,Direkt Enjeksiyon,10.5 saniye,190 km/s,172 nm,120 BG,Güney Kore,,Binek,Style MultiMedia,,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2019-hyundai-i20-1-0-t-gdi-120-ps-dct-style-multimedia.html,,,,,,116 g/km,5.1 lt,50 lt,,4.6 lt,5.9 lt,,,4 yıldız,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Style MultiMedia NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1185 kg,,1734 mm,4035 mm,1474 mm,1017 lt,301 lt,,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Style Pan MultiMedia,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Style Pan MultiMedia Test Sürüşü Talep Sayfası,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Style Pan MultiMedia Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Turbo,,3,998 cc,Direkt Enjeksiyon,10.5 saniye,190 km/s,172 nm,120 BG,Güney Kore,,Binek,Style Pan MultiMedia,,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2019-hyundai-i20-1-0-t-gdi-120-ps-dct-style-pan-multimedia.html,,,,,,116 g/km,5.1 lt,50 lt,,4.6 lt,5.9 lt,,,4 yıldız,2019 Hyundai i20 1.0 T-GDI 120 PS DCT Style Pan MultiMedia NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DCT (Yarı Otm.)
1055 kg,,1734 mm,4035 mm,1474 mm,1017 lt,301 lt,,2019 Hyundai i20 1.2L 84 PS Elite Smart Pan,2019 Hyundai i20 1.2L 84 PS Elite Smart Pan Test Sürüşü Talep Sayfası,2019 Hyundai i20 1.2L 84 PS Elite Smart Pan Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Atmosferik,,4,1248 cc,Çok Noktadan Enjeksiyon,13.1 saniye,170 km/s,122 nm,84 BG,Güney Kore,,Binek,Elite Smart Pan,,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2019-hyundai-i20-1-2l-84-ps-elite-smart-pan.html,,,,,,119 g/km,5.1 lt,50 lt,,4.2 lt,6.6 lt,,,4 yıldız,2019 Hyundai i20 1.2L 84 PS Elite Smart Pan NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1055 kg,,1734 mm,4035 mm,1474 mm,1017 lt,301 lt,,2019 Hyundai i20 1.2 84 PS Jump,2019 Hyundai i20 1.2 84 PS Jump Test Sürüşü Talep Sayfası,2019 Hyundai i20 1.2 84 PS Jump Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Atmosferik,,4,1248 cc,Çok Noktadan Enjeksiyon,13.1 saniye,170 km/s,122 nm,84 BG,Güney Kore,,Binek,Jump,,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2019-hyundai-i20-1-2l-84-ps-jump.html,,,,,,119 g/km,5.1 lt,50 lt,,4.2 lt,6.6 lt,,,4 yıldız,2019 Hyundai i20 1.2 84 PS Jump NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1055 kg,,1734 mm,4035 mm,1474 mm,1017 lt,301 lt,,2019 Hyundai i20 1.2L 84 PS Style Pan MultiMedia,2019 Hyundai i20 1.2L 84 PS Style Pan MultiMedia Test Sürüşü Talep Sayfası,2019 Hyundai i20 1.2L 84 PS Style Pan MultiMedia Ürün Kataloğu,"2 Yıl / 60 Bin Km Boya
5 Yıl / 100 Bin Km Mekanik
5 Yıl / 160 Bin Km Paslanmazlık",Hyundai Yol Yardım 0212 233 3262,Var,,,,,Atmosferik,,4,1248 cc,Çok Noktadan Enjeksiyon,13.1 saniye,170 km/s,122 nm,84 BG,Güney Kore,,Binek,Style Pan MultiMedia,,Hatchback,2019,İçten Yanmalı (Standart),1034 tl/yıl,B,i20,Benzin,https://www.epey.com/araba/2019-hyundai-i20-1-2l-84-ps-style-pan-multimedia.html,,,,,,119 g/km,5.1 lt,50 lt,,4.2 lt,6.6 lt,,,4 yıldız,2019 Hyundai i20 1.2L 84 PS Style Pan MultiMedia NCAP/ANCAP Web Sayfası,2015,Var,,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
