AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Desteği,SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Özellikleri,TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - Hava Yastığı,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1270 kg,10.90 mt.,1792 mm,4368 mm,1495 mm,,380 lt,,2020 Fiat Egea HB 1.4 Fire 95 HP Mirror,,,,,,2020 Fiat Egea HB 1.4 Fire 95 HP Mirror Test Sürüşü Talep Sayfası,2020 Fiat Egea HB 1.4 Fire 95 HP Mirror Ürün Kataloğu,5 Yıl / 100 Bin Km Mekanik,Fiat Acil Servis 444 2255,Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.1 saniye,185 km/s,127 nm,95 BG,,,İtalya,Hatchback,Binek,Mirror,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Egea,Benzin,https://www.epey.com/araba/2020-fiat-egea-hb-1-4-fire-95-hp-mirror.html,,,,,,,132 g/km,5.7 lt,50 lt,Euro 6,4.5 lt,7.7 lt,,,3 yıldız,2020 Fiat Egea HB 1.4 Fire 95 HP Mirror NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1270 kg,10.90 mt.,1792 mm,4368 mm,1495 mm,,380 lt,,2020 Fiat Egea HB 1.4 Fire 95 HP Street,,,,,,2020 Fiat Egea HB 1.4 Fire 95 HP Street Test Sürüşü Talep Sayfası,2020 Fiat Egea HB 1.4 Fire 95 HP Street Ürün Kataloğu,5 Yıl / 100 Bin Km Mekanik,Fiat Acil Servis 444 2255,Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.1 saniye,185 km/s,127 nm,95 BG,,,İtalya,Hatchback,Binek,Street,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Egea,Benzin,https://www.epey.com/araba/2020-fiat-egea-hb-1-4-fire-95-hp-street.html,,,,,,,132 g/km,5.7 lt,50 lt,Euro 6,4.5 lt,7.7 lt,,,3 yıldız,2020 Fiat Egea HB 1.4 Fire 95 HP Street NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1270 kg,10.90 mt.,1792 mm,4368 mm,1495 mm,,380 lt,,2020 Fiat Egea HB 1.4 Fire 95 HP Urban Plus,,,,,,2020 Fiat Egea HB 1.4 Fire 95 HP Urban Plus Test Sürüşü Talep Sayfası,2020 Fiat Egea HB 1.4 Fire 95 HP Urban Plus Ürün Kataloğu,5 Yıl / 100 Bin Km Mekanik,Fiat Acil Servis 444 2255,Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,12.1 saniye,185 km/s,127 nm,95 BG,,,İtalya,Hatchback,Binek,Urban Plus,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Egea,Benzin,https://www.epey.com/araba/2020-fiat-egea-hb-1-4-fire-95-hp-urban-plus.html,,,,,,,132 g/km,5.7 lt,50 lt,Euro 6,4.5 lt,7.7 lt,,,3 yıldız,2020 Fiat Egea HB 1.4 Fire 95 HP Urban Plus NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1320 kg,10.90 mt.,1792 mm,4368 mm,1495 mm,,380 lt,,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Mirror,,,,,,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Mirror Test Sürüşü Talep Sayfası,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Mirror Ürün Kataloğu,5 Yıl / 100 Bin Km Mekanik,Fiat Acil Servis 444 2255,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,200 km/s,320 nm,120 BG,,,İtalya,Hatchback,Binek,Mirror,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Egea,Dizel,https://www.epey.com/araba/2020-fiat-egea-hb-1-6-mjet-120-hp-dct-mirror.html,,,,,,,100 g/km,3.8 lt,50 lt,Euro 6,3.4 lt,4.4 lt,,,3 yıldız,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Mirror NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,DCT (Yarı Otm.)
1320 kg,10.90 mt.,1792 mm,4368 mm,1495 mm,,380 lt,,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT S-Design,,,,,,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT S-Design Test Sürüşü Talep Sayfası,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT S-Design Ürün Kataloğu,5 Yıl / 100 Bin Km Mekanik,Fiat Acil Servis 444 2255,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,200 km/s,320 nm,120 BG,,,İtalya,Hatchback,Binek,S-Design,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Egea,Dizel,https://www.epey.com/araba/2020-fiat-egea-hb-1-6-mjet-120-hp-dct-s-design.html,,,,,,,100 g/km,3.8 lt,50 lt,Euro 6,3.4 lt,4.4 lt,,,3 yıldız,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT S-Design NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,DCT (Yarı Otm.)
1320 kg,10.90 mt.,1792 mm,4368 mm,1495 mm,,380 lt,,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Sport,,,,,,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Sport Test Sürüşü Talep Sayfası,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Sport Ürün Kataloğu,5 Yıl / 100 Bin Km Mekanik,Fiat Acil Servis 444 2255,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,200 km/s,320 nm,120 BG,,,İtalya,Hatchback,Binek,Sport,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Egea,Dizel,https://www.epey.com/araba/2020-fiat-egea-hb-1-6-mjet-120-hp-dct-sport.html,,,,,,,100 g/km,3.8 lt,50 lt,Euro 6,3.4 lt,4.4 lt,,,3 yıldız,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Sport NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,DCT (Yarı Otm.)
1320 kg,10.90 mt.,1792 mm,4368 mm,1495 mm,,380 lt,,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Street,,,,,,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Street Test Sürüşü Talep Sayfası,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Street Ürün Kataloğu,5 Yıl / 100 Bin Km Mekanik,Fiat Acil Servis 444 2255,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,200 km/s,320 nm,120 BG,,,İtalya,Hatchback,Binek,Street,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Egea,Dizel,https://www.epey.com/araba/2020-fiat-egea-hb-1-6-mjet-120-hp-dct-street.html,,,,,,,100 g/km,3.8 lt,50 lt,Euro 6,3.4 lt,4.4 lt,,,3 yıldız,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Street NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,DCT (Yarı Otm.)
1320 kg,10.90 mt.,1792 mm,4368 mm,1495 mm,,380 lt,,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Urban Plus,,,,,,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Urban Plus Test Sürüşü Talep Sayfası,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Urban Plus Ürün Kataloğu,5 Yıl / 100 Bin Km Mekanik,Fiat Acil Servis 444 2255,Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,200 km/s,320 nm,120 BG,,,İtalya,Hatchback,Binek,Urban Plus,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Egea,Dizel,https://www.epey.com/araba/2020-fiat-egea-hb-1-6-mjet-120-hp-dct-urban-plus.html,,,,,,,100 g/km,3.8 lt,50 lt,Euro 6,3.4 lt,4.4 lt,,,3 yıldız,2020 Fiat Egea HB 1.6 Mjet 120 HP DCT Urban Plus NCAP/ANCAP Web Sayfası,2016,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,DCT (Yarı Otm.)
1257 kg,,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Combi 1.3 Mjet 95 Pop,,,,,,2020 Fiat Fiorino Combi 1.3 Mjet 95 Pop Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Combi 1.3 Mjet 95 Pop Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Turbo,,4,1248 cc,Common Rail Direkt Enjeksiyon,,167 km/s,200 nm,95 BG,,,İtalya,Combi,Binek,Pop,Kombi,2020,İçten Yanmalı (Standart),1156 tl/yıl,Mini Ticari,Fiorino,Dizel,https://www.epey.com/araba/2020-fiat-fiorino-combi-1-3-mjet-95-pop.html,,,,,,,125 g/km,4.7 lt,45 lt,,4.0 lt,6.0 lt,,,3 yıldız,2020 Fiat Fiorino Combi 1.3 Mjet 95 Pop NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1257 kg,,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Combi 1.3 Mjet 95 Premio,,,,,,2020 Fiat Fiorino Combi 1.3 Mjet 95 Premio Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Combi 1.3 Mjet 95 Premio Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Turbo,,4,1248 cc,Common Rail Direkt Enjeksiyon,,167 km/s,200 nm,95 BG,,,İtalya,Combi,Binek,Premio,Kombi,2020,İçten Yanmalı (Standart),1156 tl/yıl,Mini Ticari,Fiorino,Dizel,https://www.epey.com/araba/2020-fiat-fiorino-combi-1-3-mjet-95-premio.html,,,,,,,125 g/km,4.7 lt,45 lt,,4.0 lt,6.0 lt,,,3 yıldız,2020 Fiat Fiorino Combi 1.3 Mjet 95 Premio NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1257 kg,,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Combi 1.3 Mjet 95 Safeline,,,,,,2020 Fiat Fiorino Combi 1.3 Mjet 95 Safeline Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Combi 1.3 Mjet 95 Safeline Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Turbo,,4,1248 cc,Common Rail Direkt Enjeksiyon,,167 km/s,200 nm,95 BG,,,İtalya,Combi,Binek,Safeline,Kombi,2020,İçten Yanmalı (Standart),1156 tl/yıl,Mini Ticari,Fiorino,Dizel,https://www.epey.com/araba/2020-fiat-fiorino-combi-1-3-mjet-95-safeline.html,,,,,,,125 g/km,4.7 lt,45 lt,,4.0 lt,6.0 lt,,,3 yıldız,2020 Fiat Fiorino Combi 1.3 Mjet 95 Safeline NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1257 kg,,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Combi 1.3 Mjet 95 Urban,,,,,,2020 Fiat Fiorino Combi 1.3 Mjet 95 Urban Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Combi 1.3 Mjet 95 Urban Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Turbo,,4,1248 cc,Common Rail Direkt Enjeksiyon,,167 km/s,200 nm,95 BG,,,İtalya,Combi,Binek,Urban,Kombi,2020,İçten Yanmalı (Standart),1156 tl/yıl,Mini Ticari,Fiorino,Dizel,https://www.epey.com/araba/2020-fiat-fiorino-combi-1-3-mjet-95-urban.html,,,,,,,125 g/km,4.7 lt,45 lt,,4.0 lt,6.0 lt,,,3 yıldız,2020 Fiat Fiorino Combi 1.3 Mjet 95 Urban NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1257 kg,,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Pop,,,,,,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Pop Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Pop Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,,155 km/s,110 nm,77 BG,,,İtalya,Combi,Binek,Pop,Kombi,2020,İçten Yanmalı (Standart),2014 tl/yıl,Mini Ticari,Fiorino,Benzin & LPG,https://www.epey.com/araba/2020-fiat-fiorino-combi-1-4-eko-77-hp-pop.html,Var,,30 lt,8.3 lt,7.0 lt,10.7 lt,143 g/km,7.3 lt,45 lt,,6.1 lt,9.4 lt,,,3 yıldız,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Pop NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1257 kg,,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Premio,,,,,,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Premio Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Premio Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,,155 km/s,110 nm,77 BG,,,İtalya,Combi,Binek,Premio,Kombi,2020,İçten Yanmalı (Standart),2014 tl/yıl,Mini Ticari,Fiorino,Benzin & LPG,https://www.epey.com/araba/2020-fiat-fiorino-combi-1-4-eko-77-hp-premio.html,Var,,30 lt,8.3 lt,7.0 lt,10.7 lt,143 g/km,7.3 lt,45 lt,,6.1 lt,9.4 lt,,,3 yıldız,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Premio NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1257 kg,,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Safeline,,,,,,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Safeline Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Safeline Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,,155 km/s,110 nm,77 BG,,,İtalya,Combi,Binek,Safeline,Kombi,2020,İçten Yanmalı (Standart),2014 tl/yıl,Mini Ticari,Fiorino,Benzin & LPG,https://www.epey.com/araba/2020-fiat-fiorino-combi-1-4-eko-77-hp-safeline.html,Var,,30 lt,8.3 lt,7.0 lt,10.7 lt,143 g/km,7.3 lt,45 lt,,6.1 lt,9.4 lt,,,3 yıldız,2020 Fiat Fiorino Combi 1.4 EKO 77 HP Safeline NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1257 kg,,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Pop,,,,,,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Pop Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Pop Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,,156 km/s,115 nm,77 BG,,,İtalya,Combi,Binek,Pop,Kombi,2020,İçten Yanmalı (Standart),2014 tl/yıl,Mini Ticari,Fiorino,Benzin,https://www.epey.com/araba/2020-fiat-fiorino-combi-1-4-fire-77-hp-pop.html,,,,,,,167 g/km,7.3 lt,45 lt,,6.1 lt,9.4 lt,,,3 yıldız,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Pop NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1257 kg,,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Premio,,,,,,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Premio Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Premio Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,,156 km/s,115 nm,77 BG,,,İtalya,Combi,Binek,Premio,Kombi,2020,İçten Yanmalı (Standart),2014 tl/yıl,Mini Ticari,Fiorino,Benzin,https://www.epey.com/araba/2020-fiat-fiorino-combi-1-4-fire-77-hp-premio.html,,,,,,,167 g/km,7.3 lt,45 lt,,6.1 lt,9.4 lt,,,3 yıldız,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Premio NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1257 kg,,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Safeline,,,,,,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Safeline Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Safeline Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Atmosferik,,4,1368 cc,Çok Noktadan Enjeksiyon,,156 km/s,115 nm,77 BG,,,İtalya,Combi,Binek,Safeline,Kombi,2020,İçten Yanmalı (Standart),2014 tl/yıl,Mini Ticari,Fiorino,Benzin,https://www.epey.com/araba/2020-fiat-fiorino-combi-1-4-fire-77-hp-safeline.html,,,,,,,167 g/km,7.3 lt,45 lt,,6.1 lt,9.4 lt,,,3 yıldız,2020 Fiat Fiorino Combi 1.4 Fire 77 HP Safeline NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1185 kg,9.95 mt.,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Panorama 1.3 Mjet 95 HP Pop,,,,,,2020 Fiat Fiorino Panorama 1.3 Mjet 95 HP Pop Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Panorama 1.3 Mjet 95 HP Pop Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Turbo,Multijet (Çoklu Enjeksiyon Sistemi),4,1248 cc,Common Rail Direkt Enjeksiyon,,170 km/s,200 nm,95 BG,,,İtalya,Panorama,Binek,Pop,Kombi,2020,İçten Yanmalı (Standart),1156 tl/yıl,Mini Ticari,Fiorino,Dizel,https://www.epey.com/araba/2020-fiat-fiorino-panorama-1-3-mjet-95-hp-pop.html,,,,,,,,4.3 lt,45 lt,Euro 6,3.8 lt,5.2 lt,,,3 yıldız,2020 Fiat Fiorino Panorama 1.3 Mjet 95 HP Pop NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1185 kg,9.95 mt.,1716 mm,3864 mm,1721 mm,2500 lt,356 lt,,2020 Fiat Fiorino Panorama 1.3 Mjet 95 HP Premio,,,,,,2020 Fiat Fiorino Panorama 1.3 Mjet 95 HP Premio Test Sürüşü Talep Sayfası,2020 Fiat Fiorino Panorama 1.3 Mjet 95 HP Premio Ürün Kataloğu,"3 Yıl / 150 Bin Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Fiat Acil Servis 444 2255
1 Yıl Ücretsiz (Garanti Süresi İçinde)",Var,,,,,Turbo,Multijet (Çoklu Enjeksiyon Sistemi),4,1248 cc,Common Rail Direkt Enjeksiyon,,170 km/s,200 nm,95 BG,,,İtalya,Panorama,Binek,Premio,Kombi,2020,İçten Yanmalı (Standart),1156 tl/yıl,Mini Ticari,Fiorino,Dizel,https://www.epey.com/araba/2020-fiat-fiorino-panorama-1-3-mjet-95-hp-premio.html,,,,,,,,4.3 lt,45 lt,Euro 6,3.8 lt,5.2 lt,,,3 yıldız,2020 Fiat Fiorino Panorama 1.3 Mjet 95 HP Premio NCAP/ANCAP Web Sayfası,2010,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1398 kg,,1825 mm,4647 mm,1454 mm,,511 lt,,2020 Ford Focus 1.5 EcoBlue 120 PS Otomatik Titanium,,,,,,2020 Ford Focus 1.5 EcoBlue 120 PS Otomatik Titanium Test Sürüşü Talep Sayfası,2020 Ford Focus 1.5 EcoBlue 120 PS Otomatik Titanium Ürün Kataloğu,,Ford Euroservis-Acil Yol Yardımı 444 3673,Var,,,,,Turbo,EcoBlue (Yakıt Verimliliği),,1500 cc,Common Rail Direkt Enjeksiyon,10.2 saniye,196 km/s,300 nm,120 BG,,,Amerika,Sedan,Binek,Titanium,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Focus,Dizel,https://www.epey.com/araba/2020-ford-focus-1-5-ecoblue-120-ps-otomatik-titanium.html,,,,,,,115 g/km,4.4 lt,47 lt,Euro 6.2,4.1 lt,4.9 lt,,,5 yıldız,2020 Ford Focus 1.5 EcoBlue 120 PS Otomatik Titanium NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
